Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues],Magazine[Source]
SeenPoint,,,02.09.1995,01.03.2000,"AMIGA OCS/ECS, AMIGA AGA","SeenPoint 1, SeenPoint 2, SeenPoint 3, SeenPoint 4, SeenPoint 5, SeenPoint 6",
Seenpoint,,,01.10.1995,01.03.2000,AMIGA AGA,"Seenpoint 10, Seenpoint 7, Seenpoint 8, Seenpoint 9",
Seer,English,,,,Commodore 64,"Seer, The #1 (1995 11 20)(Vulture), The #2 (1997 01)(Vulture)",
Semtex,English,,,,Commodore 64,Semtex #2 (1995)(Fido),
Semtex News,,,01.01.1995,01.01.1996,Commodore 64,"Semtex News #001, Semtex News #002",
Sensual Newsline,English,,01.01.1990,01.01.1991,Commodore 64,"Sensual Newsline #01, Sensual Newsline #02, Sensual Newsline #03, Sensual Newsline #04, Sensual Newsline #05",
Sentinel,,,01.11.1990,28.09.1991,AMIGA OCS/ECS,"Sentinel 1, Sentinel 2, Sentinel 3",
Ser,,,28.09.1991,28.09.1991,AMIGA OCS/ECS,Ser 1,
Serious,English,,01.01.1990,01.01.1990,"Commodore 64, ATARI 8 BIT","Serious #0 (19xx)(Amok), Serious #11 Welcome Screen, Serious 1, Serious 2, Serious 3",
Serious Magazine,,,01.01.1998,01.01.2003,ATARI 8 BIT,"Serious Magazine 01, Serious Magazine 02, Serious Magazine 03, Serious Magazine 04, Serious Magazine 05, Serious Magazine 06, Serious Magazine 07, Serious Magazine 08, Serious Magazine 09, Serious Magazine 10, Serious Magazine 11, Serious Magazine 12, Serious Magazine 13, Serious Magazine 14, Serious Magazine 15, Serious Magazine 16, Serious Magazine 17",
Serious Preview,,,01.01.1990,01.01.1990,Commodore 64,Serious Preview,
Setevoy Sokol,Russian,Russia,,,ZX Spectrum,,
Seven Days,,,01.01.2005,01.10.2005,AMIGA AGA,Seven Days 1,
SEX,,,01.12.1994,01.12.1995,AMSTRAD CPC,"SEX #1, SEX #2",
Sex 'n' Crime Collection,English,,,,Commodore 64,Sex 'n' Crime Collection #01 (1989)(Amok),
Sex Mag,English,,01.01.1989,01.01.1989,Commodore 64,"Sex Mag #1, Sex Mag #2",
Sex'n'Crime,English,,01.01.1989,01.01.2005,Commodore 64,"Sex 'n' Crime #01 (1989 02)(Amok), Sex 'n' Crime #02 (1989 04)(Amok), Sex 'n' Crime #03 (1989 05 20)(Amok), Sex 'n' Crime #05 (1989 07)(Amok), Sex 'n' Crime #06 (1989 08)(Amok), Sex 'n' Crime #07 (1989 09)(Amok), Sex 'n' Crime #08 (1989 10)(Amok), Sex 'n' Crime #09 (1989 11)(Amok), Sex'n'Crime #100 - The New Generation, Sex'n'Crime 1, Sex'n'Crime 10, Sex'n'Crime 11, Sex'n'Crime 12, Sex'n'Crime 13, Sex'n'Crime 14, Sex'n'Crime 15, Sex'n'Crime 16, Sex'n'Crime 17, Sex'n'Crime 18, Sex'n'Crime 19, Sex'n'Crime 2, Sex'n'Crime 20, Sex'n'Crime 21, Sex'n'Crime 3, Sex'n'Crime 4, Sex'n'Crime 5, Sex'n'Crime 6, Sex'n'Crime 7, Sex'n'Crime 8, Sex'n'Crime 9",
Sex'n'Crime Preview,,,01.01.1989,01.01.1989,Commodore 64,Sex'n'Crime Preview,
Seznam,,,01.01.1995,01.01.1995,Commodore 64,Seznam #1995 !!!,
SF & F Anthology,,,21.11.1990,21.11.1990,ATARI ST/E,SF & F Anthology,
Sh0ck,English,,01.01.1991,18.01.1993,Commodore 64,"Sh0ck #1, Sh0ck #10, Sh0ck #11, Sh0ck #12, Sh0ck #13, Sh0ck #2, Sh0ck #3, Sh0ck #4, Sh0ck #5, Sh0ck #6, Sh0ck #7, Sh0ck #8, Sh0ck #9",
Shadow Disk News,,,01.11.1990,23.11.1990,AMIGA OCS/ECS,Shadow Disk News 1,
Shaft Today magazine,,,21.06.2001,21.06.2001,MS-DOS,Shaft Today magazine #1,
Shallow Grounds Issue,,,23.11.1990,23.11.1990,MS-DOS,Shallow Grounds Issue #1,
Shareworld,"German, English",,11.07.1994,01.08.1999,AMIGA,"Shareworld #1, Shareworld #10, Shareworld #2, Shareworld #3, Shareworld #5, Shareworld #9",
SHG 2 Zer0,,,22.05.1997,22.05.1997,ZX Spectrum,SHG 2 Zer0,
Shift,,,01.01.1998,01.01.1998,MS-DOS,Shift #8,
Shine,,,01.04.1997,15.12.1999,"MS-DOS, WINDOWS","Shine 1, Shine 2, Shine 3, Shine 4, Shine 5, Shine 6, Shine 7, Shine 8",
Shine Retro,,,01.11.1999,15.12.1999,WINDOWS,Shine Retro,
Shitstuff,,,01.01.1991,02.07.1991,Commodore 64,Shitstuff 13,
Shock,Russian,Latvia,01.01.1998,01.01.1998,ZX Spectrum,Shock #01,
ShOck,English,,01.05.1991,01.07.1992,Commodore 64,"ShOck #1, ShOck #10, ShOck #11, Shock #12 (19xx)(Censor Design), Shock #13 (1993)(Censor Design), ShOck #2, ShOck #3, ShOck #4, ShOck #5, ShOck #6, ShOck #7, ShOck #8, ShOck #9",
Shock,,,18.12.1995,31.08.1997,"AMIGA OCS/ECS, PAPER","Shock 1, Shock 2, Shock 3, Shock 4, Shock 5",
Shock Hacks & Scanz,English,,01.01.1990,01.01.1990,Commodore 64,"Shock Hacks & Scanns #001 (19xx)(Sinister Minds at Work), Shock Hacks & Scanz #001",
Shock Issue,,,31.08.1997,31.08.1997,NINTENDO SNES/SUPER FAMICOM,"Shock Issue #01, Shock Issue #02",
Shock VMB & Crackers,English,,01.01.1990,01.01.1990,Commodore 64,Shock VMB & Crackers #001,
Shock Wave,,,01.01.1991,01.01.1991,Commodore 64,Shock Wave #02,
Shocker,Russian,Ukraine,20.01.1998,20.01.1998,ZX Spectrum,Shocker #01,
Shooter,,,01.01.1997,01.01.1997,MS-DOS,Shooter,
Short Circuit,English,,01.01.1996,01.01.1996,Commodore 64,"Short Circuit #01 [hungarian], Short Circuit #02 (19xx)(Breeze), Short Circuit #02 [hungarian], Short Circuit #03 (19xx)(Breeze), Short Circuit #03 [hungarian], Short Circuit #04 (19xx)(Breeze)",
Shout!,English,,01.01.1995,01.03.1995,Commodore 64,"Shout #01 (1995 03)(Equinoxe)(Side A), Shout! #1",
Showtime,,,01.02.1996,15.09.2008,"AMIGA OCS/ECS, AMIGA AGA, WINDOWS","Showtime 1, Showtime 10, Showtime 11, Showtime 12, Showtime 13, Showtime 14, Showtime 15, Showtime 16, Showtime 17, Showtime 18, Showtime 2, Showtime 3, Showtime 4, Showtime 5, Showtime 6, Showtime 7, Showtime 8, Showtime 9",
Shreded,English,,01.01.1993,01.05.1994,Commodore 64,"Shreded #1, Shreded #2, Shreded #3, Shreded #4, Shreded #5, Shreded #6, Shreded #7",
Shupashkar,Russian,Russia,09.10.1999,09.10.1999,ZX Spectrum,Shupashkar #02,
Shut Up,English,,01.01.1992,01.01.1993,Commodore 64,"Shut Up #05, Shut Up #08, Shut Up #10, Shut Up #13",
SibNews,Russian,Russia,27.05.2017,01.01.2018,ZX Spectrum,"SibNews #01, SibNews #02, SibNews #03, SibNews #04, SibNews #05, SibNews #06, SibNews #07, SibNews #08",
Sid & Vic,,,01.01.1992,01.01.1993,Commodore 64,"Sid & Vic 1, Sid & Vic 2, Sid & Vic 3",
Sid'n'Vic,,,01.01.1992,01.01.1993,Commodore 64,"Sid'n'Vic #1, Sid'n'Vic #2, Sid'n'Vic #3",
Sienera Online Interaktiv,,,15.03.1995,20.10.1995,ATARI FALCON,"Sienera Online Interaktiv 1, Sienera Online Interaktiv 2, Sienera Online Interaktiv 3, Sienera Online Interaktiv 4.1, Sienera Online Interaktiv 5.0, Sienera Online Interaktiv 6.0",
Sight Unseen,,,01.04.1994,18.04.1994,MS-DOS,Sight Unseen #1,
Silent Observer,English,,,,Commodore 64,Silent Observer #0,
Silesia,,,01.01.1993,03.04.1996,"AMIGA OCS/ECS, AMIGA AGA","Silesia 1, Silesia 10, Silesia 11, Silesia 12, Silesia 13, Silesia 14, Silesia 2, Silesia 3, Silesia 4, Silesia 5, Silesia 6, Silesia 7, Silesia 8, Silesia 9",
Silly Venture Souvenir,,,03.04.1996,03.04.1996,BROWSER,Silly Venture Souvenir,
Silverall Review,,,24.09.1993,24.09.1993,MS-DOS,Silverall Review,
Silverball Review,,,23.09.1993,23.09.1993,MS-DOS,Silverball Review,
Simon The Sorcerer Review,,,10.10.1993,10.10.1993,MS-DOS,Simon The Sorcerer Review,
Sinc Re-Stared,Russian,Russia,28.02.2006,28.02.2006,ZX Spectrum,"Sinc Re-Stared #01, Sinc Re-Stared #02, Sinc Re-Stared #03",
Sinclair Classic,,,,,ZX Spectrum,,
Sinclair Club,Russian,Russia,09.12.1999,31.12.2001,ZX Spectrum,"Sinclair Club #01, Sinclair Club #02, Sinclair Club #03, Sinclair Club #04, Sinclair Club #05",
Sinclair News,Russian,Russia,,,ZX Spectrum,,
Sinclair Town,Russian,Russia,31.12.1994,31.03.1995,ZX Spectrum,"Sinclair Town #01, Sinclair Town #02",
Sinister,English,,01.01.1997,01.01.1998,Commodore 64,"Sinister #03 [polish], Sinister #04 [polish], Sinister #05 (1998)(Fraction)(Disk 1 of 3), Sinister #05 [polish], Sinister #3 (1997)(Fraction)(pl)(Side A), Sinister #4 (1998)(Fraction)(pl)(Side A)",
Sinner,,,10.10.1993,01.03.2002,WINDOWS,"Sinner #1, Sinner #2",
Skansen,,,10.10.1993,10.10.1993,AMIGA OCS/ECS,Skansen 1,
Skarpedy,English,,01.01.1996,01.01.1996,Commodore 64,"Skarpedy #1 (19xx)(Quantum)(Side A), Skarpedy #1 [polish]",
Skimer,Russian,Russia,31.07.2000,30.09.2000,ZX Spectrum,"Skimer #01, Skimer #02",
Skumslik,,,01.01.1990,01.04.1990,Commodore 64,Skumslik #28,
Sky Guide magazine,,,18.10.1998,18.10.1998,MS-DOS,Sky Guide magazine,
Sky Net,Russian,Ukraine,22.08.1996,08.10.1996,ZX Spectrum,"Sky Net #01, Sky Net #02, Sky Net #03, Sky Net #04, Sky Net #05",
Skyhigh,English,,01.01.1992,01.11.1999,Commodore 64,"Skyhigh 1, Skyhigh 10, Skyhigh 11, Skyhigh 12, Skyhigh 13, Skyhigh 14, Skyhigh 15, Skyhigh 16, Skyhigh 17, Skyhigh 18, Skyhigh 19, Skyhigh 2, Skyhigh 20, Skyhigh 21, Skyhigh 3, Skyhigh 4, Skyhigh 5, Skyhigh 6, Skyhigh 7, Skyhigh 8, Skyhigh 9",
Skynet Times,,,01.11.1994,01.09.1995,Atari ST,"Skynet Times issue 2, Skynet Times issue 7",
Skynet Times Issue,,,01.01.1995,01.09.1995,ATARI ST/E,"Skynet Times Issue 1, Skynet Times Issue 2, Skynet Times Issue 3, Skynet Times Issue 4, Skynet Times Issue 5, Skynet Times Issue 6, Skynet Times Issue 7",
Skynet Times – Best Of Issues 1-5,,,01.01.1995,01.01.1995,ATARI ST/E,Skynet Times – Best Of Issues 1-5,
Slam 'N' Jam Review,,,15.03.1997,15.03.1997,MS-DOS,Slam 'N' Jam Review,
Slavemarket Preview,,,31.10.1992,31.10.1992,AMIGA OCS/ECS,Slavemarket Preview,
sledge hammer,,,01.04.1993,01.12.1993,"AMIGA OCS/ECS, AMIGA AGA","sledge hammer #11, sledge hammer #12",
Sledge Hammer,,,01.12.1992,01.06.1994,AMIGA OCS/ECS,"Sledge Hammer #10 english, Sledge Hammer #13 english",
Sledge Hammer 10e,,,23.10.1992,23.10.1992,AMIGA OCS/ECS,Sledge Hammer 10e,
Sledge Hammer 11E,,,23.10.1992,23.10.1992,AMIGA OCS/ECS,Sledge Hammer 11E,
Sledge Hammer 12e,,,17.12.1993,17.12.1993,AMIGA OCS/ECS,Sledge Hammer 12e,
Sledge Hammer 13E,,,19.07.1994,19.07.1994,AMIGA OCS/ECS,Sledge Hammer 13E,
Sledge Hammer 14h,,,19.07.1994,01.04.1996,AMIGA OCS/ECS,Sledge Hammer 14h,
Sledge Hammer Party 3 Special Edition,,,12.01.1994,12.01.1994,AMIGA OCS/ECS,Sledge Hammer Party 3 Special Edition,
Sledge Hammer Slide Show,,,01.01.1991,01.01.1991,AMIGA OCS/ECS,Sledge Hammer Slide Show 2,
Slime,,,07.01.1991,01.10.1991,AMIGA OCS/ECS,"Slime 1, Slime 2, Slime 3, Slime 6",
SLONECZNIK,,,01.11.2003,01.11.2003,WINDOWS,SLONECZNIK #3,
Slothmag,,,01.01.1989,01.01.1989,Commodore 64,"Slothmag #2, Slothmag #3",
Slowpoke,English,,01.01.1990,01.01.1992,Commodore 64,"Slowpoke 1, Slowpoke 2, Slowpoke 3, Slowpoke 4, Slowpoke 5, Slowpoke 6",
Smag-FX,,,04.07.2020,04.07.2020,ATARI ST/E,Smag-FX 3,
SMag-FX,,,03.08.2018,02.02.2019,ATARI ST/E,"SMag-FX #1, SMag-FX #2",
SMagFX,,,01.08.2018,01.07.2020,Atari ST,"SMagFX #1, SMagFX #2, SMagFX #3",
SMagFX 4 - Eko Edition,,,31.12.2021,31.12.2021,ATARI ST/E,SMagFX 4 - Eko Edition,
SMagFX-4 - Eko Edition,,,01.12.2021,01.12.2021,Atari ST,SMagFX-4 - Eko Edition,
Smash,English,,01.01.1992,01.01.1997,Commodore 64,"Smash #1, Smash #10, Smash #11, Smash #12, Smash #13, Smash #14, Smash #2, Smash #3, Smash #4, Smash #5, Smash #6, Smash #7, Smash #8, Smash #9",
Smash News,English,,01.01.1991,01.01.1991,Commodore 64,"Smash News #1, Smash News #2",
Smash Up Preview,,,,,Commodore 64,Smash Up Preview,
Smasher,English,,01.01.1991,01.01.1991,Commodore 64,"Smasher #1, Smasher #2, Smasher #4, Smasher #5, Smasher #6",
Smeh,Russian,Russia,28.05.1997,28.05.1997,ZX Spectrum,Smeh #01,
Smiling Panda,English,,01.01.1991,08.11.1992,Commodore 64,"Smiling Panda #1 (Version 2), Smiling Panda 1, Smiling Panda 2, Smiling Panda 3, Smiling Panda 4, Smiling Panda 5",
Smok,,,01.05.1995,03.05.1995,MS-DOS,"Smok 1, Smok 2",
Smooth Criminal,English,,01.01.1989,03.05.1995,"Commodore 64, AMIGA OCS/ECS","Smooth Criminal #03 04 (1990)(Zone 45), Smooth Criminal 1, Smooth Criminal 2, Smooth Criminal 3, Smooth Criminal 4, Smooth Criminal 5, Smooth Criminal 6, Smooth Criminal 7, Smooth Criminal 8, Smooth Criminal 9",
Smooth Criminal 3 -,,,17.07.1993,17.07.1993,AMIGA OCS/ECS,Smooth Criminal 3 - 2,
Smurffi,,,01.01.1996,01.06.1997,"MS-DOS, MS-Dos/gus","Smurffi #1, Smurffi #2, Smurffi #3",
Snapshot Info,English,,,,Commodore 64,Snapshot Info #2 (1992)( ),
Sneaker,,,28.07.1999,28.07.1999,MS-DOS,Sneaker #4,
SNES Tracks - SNES Game Cheats,,,28.07.1999,28.07.1999,NINTENDO SNES/SUPER FAMICOM,SNES Tracks - SNES Game Cheats,
SNES Trainer Charts 06/94,,,01.06.1994,01.06.1994,NINTENDO SNES/SUPER FAMICOM,SNES Trainer Charts 06/94,
SNES Trainer Charts Issue 1 06/94,,,28.07.1999,28.07.1999,NINTENDO SNES/SUPER FAMICOM,SNES Trainer Charts Issue 1 06/94,
SNPFCT#1,English,,01.01.2009,01.01.2009,Commodore 64,SNPFCT#1,
SNPFCT#2,English,,01.01.2010,01.01.2010,Commodore 64,SNPFCT#2,
SNPFCT#3,English,,01.01.2011,01.01.2011,Commodore 64,SNPFCT#3,
SNPFCT#4,English,,01.01.2012,01.01.2012,Commodore 64,SNPFCT#4,
SNPFCT#5,,,01.01.2017,01.01.2017,Commodore 64,SNPFCT#5,
Soap,English,,03.12.1997,26.01.1998,MS-DOS,"Soap #1, Soap #2",
soapmag,,,01.03.1996,01.03.1996,MS-DOS,soapmag #1,
Sock-It,,,01.01.1991,20.04.1991,Commodore 64,Sock-It #1,
Soft Panorama,,,01.01.1992,01.01.1992,VECTOR-06C,Soft Panorama 1,
Softdisk Keeper,English,,01.08.1983,01.10.1983,APPLE II,"Softdisk Keeper August 1983 Side 1, Softdisk Keeper August 1983 Side 2, Softdisk Keeper October 1983 Side 1",Internet Archive
Softdisk Magazette,English,,01.01.1982,01.11.1983,APPLE II,"Softdisk Magazette April 1983 Side 1, Softdisk Magazette April 1983 Side 2, Softdisk Magazette August 1983, Softdisk Magazette June 1983 Side 1, Softdisk Magazette June 1983 Side 2, Softdisk Magazette Keeper May 1983 Side 1, Softdisk Magazette Keeper May 1983 Side 2, Softdisk Magazette Keeper November 1983 Side 1, Softdisk Magazette Keeper November 1983 Side 2, Softdisk Magazette May 1983 Side 1, Softdisk Magazette May 1983 Side 2, Softdisk Magazette November 1983 Side 1, Softdisk Magazette November 1983 Side 2, Softdisk Magazette October 1982 Side 1, Softdisk Magazette October 1982 Side 2, Softdisk Magazette October 1983 Side 1, Softdisk Magazette September 1983 Side 1, Softdisk Magazette September 1983 Side 2, Softdisk Magazette Volume 1, No. 05 (1982-01)(Softdisk)(Side A), Softdisk Magazette Volume 1, No. 05 (1982-01)(Softdisk)(Side B), Softdisk Magazette Volume 1, No. 06 (1982-02)(Softdisk)(Side A)[b], Softdisk Magazette Volume 1, No. 06 (1982-02)(Softdisk)(Side B), Softdisk Magazette Volume 1, No. 07 (1982-03)(Softdisk)(Side A), Softdisk Magazette Volume 1, No. 07 (1982-03)(Softdisk)(Side B), Softdisk Magazette Volume 1, No. 09 (1982-05)(Softdisk)(Side A), Softdisk Magazette Volume 1, No. 09 (1982-05)(Softdisk)(Side B), Softdisk Magazette Volume 1, No. 10 (1982-06)(Softdisk)(Side A), Softdisk Magazette Volume 1, No. 10 (1982-06)(Softdisk)(Side B), Softdisk Magazette Volume 1, No. 11 (1982-07)(Softdisk)(Side A), Softdisk Magazette Volume 1, No. 11 (1982-07)(Softdisk)(Side B), Softdisk Magazette Volume 1, No. 12 (1982-08)(Softdisk)(Side A), Softdisk Magazette Volume 1, No. 12 (1982-08)(Softdisk)(Side B), Softdisk Magazette Volume 2, No. 01 (1982-09)(Softdisk)(Side A), Softdisk Magazette Volume 2, No. 01 (1982-09)(Softdisk)(Side B), Softdisk Magazette Volume 2, No. 02 (1982-10)(Softdisk)(Side A), Softdisk Magazette Volume 2, No. 02 (1982-10)(Softdisk)(Side B), Softdisk Magazette Volume 2, No. 03 (1982-11)(Softdisk)(Side A), Softdisk Magazette Volume 2, No. 03 (1982-11)(Softdisk)(Side B), Softdisk Magazette Volume 2, No. 04 (1982-12)(Softdisk)(Side A), Softdisk Magazette Volume 2, No. 04 (1982-12)(Softdisk)(Side B), Softdisk Magazette Volume 2, No. 05 (1983-01)(Softdisk)(Side A), Softdisk Magazette Volume 2, No. 05 (1983-01)(Softdisk)(Side B), Softdisk Magazette Volume 2, No. 06 (1983-02)(Softdisk)(Side A), Softdisk Magazette Volume 2, No. 06 (1983-02)(Softdisk)(Side B), Softdisk Magazette Volume 2, No. 07 (1983-03)(Softdisk)(Side A), Softdisk Magazette Volume 2, No. 07 (1983-03)(Softdisk)(Side B), Softdisk Magazette Volume 2, No. 08 (1983-04)(Softdisk)(Disk 1 of 2 Side A), Softdisk Magazette Volume 2, No. 08 (1983-04)(Softdisk)(Disk 1 of 2 Side B), Softdisk Magazette Volume 2, No. 08 (1983-04)(Softdisk)(Disk 2 of 2 Side A), Softdisk Magazette Volume 2, No. 08 (1983-04)(Softdisk)(Disk 2 of 2 Side B)[unk filesys]",Internet Archive
Softdisk Magazine,English,,01.10.1981,01.09.1983,APPLE II,"Softdisk Magazine August 1982 Bonus Special Side 1, Softdisk Magazine August 1982 Bonus Special Side 2, Softdisk Magazine August 1982 Side 1, Softdisk Magazine August 1982 Side 2, Softdisk Magazine Bonus Special July 1982 Disk 1, Softdisk Magazine Bonus Special July 1982 Disk 2, Softdisk Magazine December 1981 Side 1, Softdisk Magazine December 1981 Side 2, Softdisk Magazine December 1982 Side 1, Softdisk Magazine December 1982 Side 2, Softdisk Magazine February 1982 Side 1, Softdisk Magazine February 1982 Side 2, Softdisk Magazine February 1989 Side 1, Softdisk Magazine February 1989 Side 2, Softdisk Magazine January 1982 Side 1, Softdisk Magazine January 1982 Side 2, Softdisk Magazine January 1983 Side 1, Softdisk Magazine January 1983 Side 2, Softdisk Magazine July 1982 Side 1, Softdisk Magazine July 1982 Side 2, Softdisk Magazine June 1982 Side 1, Softdisk Magazine June 1982 Side 2, Softdisk Magazine Keeper September 1983 Side 1, Softdisk Magazine Keeper September 1983 Side 2, Softdisk Magazine March 1982 Side 1, Softdisk Magazine March 1982 Side 2, Softdisk Magazine November 1981 Side 1, Softdisk Magazine November 1981 Side 2, Softdisk Magazine November 1982 Side 1, Softdisk Magazine November 1982 Side 2, Softdisk Magazine October 1981 Side 1, Softdisk Magazine October 1981 Side 2, Softdisk Magazine September 1982 Disk 1, Softdisk Magazine September 1982 Disk 2",Internet Archive
Softdisk Magizette,English,,01.07.1983,01.07.1983,APPLE II,"Softdisk Magizette July !983 Side 1, Softdisk Magizette July !983 Side 2",Internet Archive
Softdisk PC,English,,01.09.1995,01.07.1998,,"Softdisk PC #108, Softdisk PC #122, Softdisk PC #123, Softdisk PC #131, Softdisk PC #132, Softdisk PC #137, Softdisk PC #138, Softdisk PC #141",
Softdisk Special,English,,,,APPLE II,Softdisk Special Demo RIAG Contributor Disk 10,Internet Archive
Softside DV Magazine,English,,01.02.1982,01.05.1982,APPLE II,"Softside DV Magazine Issue 30 Escape From the Dungeon of the Gods SWAT Kbyter Dr Livingston, Softside DV Magazine Issue 31 CATS Puzzle Jumble Kbyter Applesoft Extensions DOS 3.3 Notice, Softside DV Magazine Issue 32 CATS 2 Operation Cloze Sabotage Kybter32, Softside DV Magazine Issue 33 Defense Shape Wizard Character Gen Note, Softside DV Magazine Issue 34 Fugue Sabotage Alphie Auto Menu, Softside DV Magazine Issue 45 Stomp Shape Play Psychedelics Apple Diskourse Paddle Color Fill, Softside DV Magazine Issue 46 Crisis Sky Fire Appleanche Death World Financial Operating System, Softside DV Magazine Volume 1 February 1982 Cover Andorra Rubicube Space Rescue, Softside DV Magazine Volume 2 March 1982 Hexapawn Program Matcher Disk Peeker Poker Gty Float, Softside DV Magazine Volume 3 April 1982 Cover Apple F.O.O.L.S. Poster Maker Semaphore Microtext, Softside DV Magazine Volume 4 May 1982 Cover Solitaire Apple F.O.O.L.S. Remark Writer",Internet Archive
Softside Magazette,English,,01.03.1983,01.05.1983,APPLE II,"Softside Magazette April 1983 Side 1, Softside Magazette April 1983 Side 2, Softside Magazette March 1983 Side 1, Softside Magazette March 1983 Side 2, Softside Magazette May 1983 Side 1, Softside Magazette May 1983 Side 2",Internet Archive
Software Chronicles Digest,,,01.11.1990,01.12.1992,MS-DOS,"Software Chronicles Digest #1, Software Chronicles Digest #10, Software Chronicles Digest #11, Software Chronicles Digest #12, Software Chronicles Digest #13, Software Chronicles Digest #14, Software Chronicles Digest #15, Software Chronicles Digest #2, Software Chronicles Digest #3, Software Chronicles Digest #4, Software Chronicles Digest #5, Software Chronicles Digest #6, Software Chronicles Digest #7, Software Chronicles Digest #8, Software Chronicles Digest #9",
Solid Matter,English,,01.01.1990,01.01.1991,Commodore 64,"Solid Matter #1, Solid Matter #2",
Solid Matter $01,,,,,Commodore 64,Solid Matter $01,
Solid Sound,English,,01.01.1990,01.05.1991,Commodore 64,"Solid Sound #001, Solid Sound #002, Solid Sound #003, Solid Sound #004, Solid Sound #005, Solid Sound #006",
Somewhere In Holland Party Report,,,01.01.1993,01.01.1993,AMIGA OCS/ECS,Somewhere In Holland Party Report,
Sonic 3: Sonic & Knuckles Review,,,09.03.1997,09.03.1997,MS-DOS,Sonic 3: Sonic & Knuckles Review,
Soporific,English,,01.01.1989,01.01.1989,Commodore 64,"Soporific #1, Soporific #2",
Sorrow News,Russian,Belarus,28.02.1998,30.04.1998,ZX Spectrum,"Sorrow News #01, Sorrow News #02, Sorrow News #03, Sorrow News #04, Sorrow News #05",
SOS Fanzine,,,09.03.1997,09.03.1997,AMSTRAD CPC,"SOS Fanzine #3, SOS Fanzine #6",
SOSG,Russian,Russia,20.10.1999,15.12.1999,ZX Spectrum,"SOSG #01, SOSG #02, SOSG #03, SOSG #04, SOSG #05, SOSG #06",
Soul News,English,,,,Commodore 64,"Soul News #03 (19xx)(Compagnions), Soul News #04 (1991 01 26)(Compagnions), Soul News #05 (1991)(Compagnions), Soul News #06 (1991)(Compagnions), Soul News #07 (1991)(Compagnions), Soul News #07 World News #07 (1991 05 30)(Compagnions), Soul News #08 (1991)(Compagnions), Soul News #09 (1991)(Compagnions), Soul News #10 (1991)(Compagnions), Soul News #11 (1992)(Compagnions)",
Soulnews,English,,01.01.1990,09.03.1997,Commodore 64,"Soulnews #1, Soulnews #10, Soulnews #11, Soulnews #2, Soulnews #3, Soulnews #4, Soulnews #5, Soulnews #6, Soulnews #7, Soulnews #8, Soulnews #9",
Soulnews preview,English,,,,Commodore 64,Soulnews preview (19xx)(S2S),
Soulnews Preview,English,,01.01.1990,01.01.1990,Commodore 64,Soulnews Preview,
Sourcecode Collections List,,,01.01.1990,01.01.1990,AMIGA OCS/ECS,Sourcecode Collections List,
Southern Charts,,,01.04.1992,01.04.1992,AMIGA OCS/ECS,Southern Charts 3,
Space,,,01.03.1996,01.03.1996,MS-DOS,Space issue #1,
Space issue,,,01.04.1992,01.04.1992,MS-DOS,Space issue #1,
SPb ZX Week,Russian,Russia,20.02.1998,23.02.1998,ZX Spectrum,"SPb ZX Week #01, SPb ZX Week #02",
SPbZXNet-Pointovka,Russian,Russia,14.07.2002,14.07.2002,ZX Spectrum,SPbZXNet-Pointovka #01,
Speaker,English,,,,Commodore 64,"Speaker #2 (1993 06 27)(Vaudeville), Speaker #3 (1993 10 01)(Vaudeville), Speaker #4 (1994 02 10)(Vaudeville), Speaker #6 (1998)(Vaudeville)",
Speaker Magazine,,,01.01.1993,01.01.1998,Commodore 64,"Speaker Magazine #1 [polish], Speaker Magazine #2 [polish], Speaker Magazine #3 [polish], Speaker Magazine #4 [polish], Speaker Magazine #5 [polish], Speaker Magazine #6 [polish]",
Speaker199315 Vaudeville,English,,,,Commodore 64,Speaker 1 1993 05 15 Vaudeville,
Speccy,Russian,Russia,30.09.1995,31.12.1996,ZX Spectrum,"Speccy #01, Speccy #02, Speccy #03, Speccy #04, Speccy #05, Speccy #06, Speccy #07",
Speccy Life,Russian,Russia,19.10.1998,19.10.1998,ZX Spectrum,Speccy Life #01,
SpecInfo,Russian,Latvia,28.08.1997,26.10.1999,ZX Spectrum,"SpecInfo #01, SpecInfo #02, SpecInfo #03, SpecInfo #04, SpecInfo #05",
Spectrofon,Russian,Russia,30.11.1993,20.07.1997,ZX Spectrum,"Spectrofon #00, Spectrofon #01, Spectrofon #02, Spectrofon #03, Spectrofon #04, Spectrofon #05, Spectrofon #06, Spectrofon #07, Spectrofon #08, Spectrofon #09, Spectrofon #10, Spectrofon #11, Spectrofon #12, Spectrofon #13, Spectrofon #14, Spectrofon #15, Spectrofon #16, Spectrofon #17, Spectrofon #18, Spectrofon #19, Spectrofon #20, Spectrofon #21, Spectrofon #22, Spectrofon #23",
Spectrofun,Russian,Russia,31.03.1997,30.06.1997,ZX Spectrum,"Spectrofun #01, Spectrofun #02, Spectrofun #03",
Spectron,Russian,Russia,31.12.1994,31.12.1994,ZX Spectrum,Spectron #01,
Spectrophoby,Russian,Russia,17.08.1995,11.12.1996,ZX Spectrum,"Spectrophoby #01, Spectrophoby #02, Spectrophoby #03, Spectrophoby #04, Spectrophoby #05, Spectrophoby #06",
spectrum,,,01.12.1990,01.03.1991,MS-DOS,"spectrum issue #2, spectrum issue #3, spectrum issue #4, spectrum issue #5",
