Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues]
Duke Nukem 3D Review,unknown,unknown,07.05.1996,07.05.1996,MS-DOS,Duke Nukem 3D Review
Dungeon Hack Guide,unknown,unknown,17.11.1993,17.11.1993,MS-DOS,Dungeon Hack Guide
Dungeon Hack Review,unknown,unknown,12.04.1993,12.04.1993,MS-DOS,Dungeon Hack Review
Dungeon Keeper Final Review,unknown,unknown,28.06.1997,28.06.1997,MS-DOS,Dungeon Keeper Final Review
Dungeon Keeper Review,unknown,unknown,08.06.1997,08.06.1997,MS-DOS,Dungeon Keeper Review
Duplex 6/95,unknown,unknown,08.06.1997,08.06.1997,AMIGA AGA,Duplex 6/95
Duplex 7/95,unknown,unknown,08.06.1997,08.06.1997,AMIGA AGA,Duplex 7/95
Duplex 8/95,unknown,unknown,08.06.1997,08.06.1997,AMIGA AGA,Duplex 8/95
Duplex 9/95,unknown,unknown,15.09.1995,15.09.1995,AMIGA AGA,Duplex 9/95
Duplex 10/95,unknown,unknown,15.09.1995,15.09.1995,AMIGA AGA,Duplex 10/95
Duplex 11/95,unknown,unknown,15.09.1995,15.09.1995,AMIGA AGA,Duplex 11/95
Dziecielina Pala,unknown,unknown,26.03.1995,15.09.1995,AMIGA OCS/ECS,"Dziecielina Pala 1, Dziecielina Pala 26"
E.C.S. Info Mag 1/91,unknown,unknown,26.03.1995,26.03.1995,ATARI 8 BIT,E.C.S. Info Mag 1/91
E.C.S. Info Mag 2/91,unknown,unknown,26.03.1995,26.03.1995,ATARI 8 BIT,E.C.S. Info Mag 2/91
E.C.S. Info Mag 3/91,unknown,unknown,26.03.1995,26.03.1995,ATARI 8 BIT,E.C.S. Info Mag 3/91
E-Mag Demo,unknown,unknown,01.01.1993,01.01.1993,SAM COUPÉ,E-Mag Demo
Earthshake,unknown,unknown,10.10.1992,24.05.1993,COMMODORE 64,"Earthshake #11, Earthshake #12, Earthshake #13, Earthshake #14, Earthshake #15, Earthshake #16"
Earthworm Jim Review,unknown,unknown,12.05.1995,12.05.1995,MS-DOS,Earthworm Jim Review
Echo Magazine,unknown,unknown,01.01.1995,28.07.1998,ATARI ST/E,"Echo Magazine #01, Echo Magazine #02, Echo Magazine #03, Echo Magazine #04, Echo Magazine #05, Echo Magazine #06, Echo Magazine #07, Echo Magazine #08"
The Eclipx Newsletter,unknown,unknown,28.07.1998,28.07.1998,AMIGA OCS/ECS,The Eclipx Newsletter 1994
Eezi-PC Maggie,unknown,unknown,20.02.1997,20.02.1997,ATARI ST/E,Eezi-PC Maggie
EF 2000 V2.0 Review,unknown,unknown,30.06.1997,30.06.1997,MS-DOS,EF 2000 V2.0 Review
EFA Disk-Mag,unknown,unknown,18.11.2019,31.10.2020,ATARI ST/E,"EFA Disk-Mag #1 (Nov 2019), EFA Disk-Mag #2 (Aug 2020), EFA Disk-Mag #3 (Sep 2020), EFA Disk-Mag #4 (Oct 2020), EFA Disk-Mag #5 (Nov 2020)"
Eiffel,unknown,unknown,11.05.1993,01.04.1994,AMIGA OCS/ECS,"Eiffel 1, Eiffel 2, Eiffel 03"
Electra,unknown,unknown,01.01.1995,01.01.1995,ZX SPECTRUM,Electra 1
Electronic Battleship Review,unknown,unknown,18.09.1993,18.09.1993,MS-DOS,Electronic Battleship Review
Emanuelle,unknown,unknown,27.04.1991,18.09.1993,COMMODORE 64,"Emanuelle 1, Emanuelle 2, Emanuelle 3, Emanuelle 4, Emanuelle 5, Emanuelle 6, Emanuelle 7, Emanuelle 8, Emanuelle 9, Emanuelle 10, Emanuelle 11, Emanuelle 12, Emanuelle 13"
Emigre Magazine Issue,unknown,unknown,01.01.1994,19.03.1995,MS-DOS,"Emigre Magazine Issue #1, Emigre Magazine Issue #2, Emigre Magazine Issue #3, Emigre Magazine Issue #4"
Empire Soccer Review,unknown,unknown,06.06.1994,06.06.1994,MS-DOS,Empire Soccer Review
Enemy Nations Review,unknown,unknown,05.05.1997,05.05.1997,MS-DOS,Enemy Nations Review
Energy,unknown,unknown,05.05.1997,15.04.1998,ATARI 8 BIT,"Energy #1, Energy #2"
Entity Newsletter,unknown,unknown,18.01.1994,21.01.1994,MS-DOS,"Entity Newsletter #1, Entity Newsletter #2"
Epistula,unknown,unknown,02.11.1992,12.05.1993,COMMODORE 64,"Epistula #3, Epistula #4"
The Epitaph,unknown,unknown,01.05.1995,01.05.1995,MS-DOS,The Epitaph #2
Eternal,unknown,unknown,01.05.1995,01.05.1995,AMIGA OCS/ECS,"Eternal #1, Eternal 2"
Eurochart,unknown,unknown,01.03.1991,13.01.2004,"AMIGA PPC/RTG, AMIGA OCS/ECS, AMIGA AGA, LINUX, WINDOWS","Eurochart 9, Eurochart 10, Eurochart 11, Eurochart 12, Eurochart 13, Eurochart 14, Eurochart 15, Eurochart 16, Eurochart 17, Eurochart 18, Eurochart 19, Eurochart 20, Eurochart 21, Eurochart 22, Eurochart 23, Eurochart 24, Eurochart 25, Eurochart 26, Eurochart 27, Eurochart 28, Eurochart 29, Eurochart 30, Eurochart 32, Eurochart 34, Eurochart 35, Eurochart 36, Eurochart 37, Eurochart 38, Eurochart 39, Eurochart 40, Eurochart 41, Eurochart 42, Eurochart 43, Eurochart 44, Eurochart 45, Eurochart 46, Eurochart 47, Eurochart 48"
EuroChart,unknown,unknown,13.01.2004,13.01.2004,AMIGA AGA,"EuroChart 31, EuroChart 33"
Eurochart 32 Intro,unknown,unknown,29.12.1997,29.12.1997,AMIGA AGA,Eurochart 32 Intro
Eurochart Top Ten,unknown,unknown,01.11.1989,01.09.1990,AMIGA OCS/ECS,"Eurochart Top Ten 1, Eurochart Top Ten 2, Eurochart Top Ten 3, Eurochart Top Ten 4, Eurochart Top Ten 5, Eurochart Top Ten 6, Eurochart Top Ten 8"
EuroChart Top Ten,unknown,unknown,01.11.1990,01.11.1990,AMIGA OCS/ECS,EuroChart Top Ten 7
European Top 20,unknown,unknown,01.11.1990,01.11.1990,AMIGA OCS/ECS,"European Top 20 1, European Top 20 2, European Top 20 3, European Top 20 4, European Top 20 5, European Top 20 6, European Top 20 7"
European Top 20 - Party Edition,unknown,unknown,01.01.1993,01.01.1993,AMIGA OCS/ECS,European Top 20 - Party Edition
Event Horizon,unknown,unknown,01.06.1995,01.06.1995,MS-DOS,Event Horizon #3 - Deliverance
Evidence Review,unknown,unknown,15.07.1997,15.07.1997,MS-DOS,Evidence Review
Evil Diskmag,unknown,unknown,01.01.1998,23.04.2000,MS-DOS,"Evil Diskmag #2, Evil Diskmag #3, Evil Diskmag #4"
Evolution Magazines Premier Issue,unknown,unknown,01.01.1994,01.01.1994,MS-DOS,Evolution Magazines Premier Issue #1
Excees,unknown,unknown,29.10.1997,01.01.1998,"AMIGA OCS/ECS, AMIGA AGA","Excees, Excees 1"
Excel Disk Magazine,unknown,unknown,29.10.1997,29.10.1997,ATARI 8 BIT,"Excel Disk Magazine #01, Excel Disk Magazine #02, Excel Disk Magazine #03, Excel Disk Magazine #04, Excel Disk Magazine #05, Excel Disk Magazine #06, Excel Disk Magazine #07, Excel Disk Magazine #08, Excel Disk Magazine #09, Excel Disk Magazine #10, Excel Disk Magazine #11, Excel Disk Magazine #12, Excel Disk Magazine #13, Excel Disk Magazine #14, Excel Disk Magazine #15, Excel Disk Magazine #16, Excel Disk Magazine #17, Excel Disk Magazine #18, Excel Disk Magazine #19, Excel Disk Magazine #20, Excel Disk Magazine #21, Excel Disk Magazine #22, Excel Disk Magazine #23"
Exceller 8,unknown,unknown,04.12.1988,01.01.1989,AMIGA OCS/ECS,"Exceller 8 1, Exceller 8 2, Exceller 8 3, Exceller 8 4"
Excess,unknown,unknown,01.01.1989,01.07.2003,AMIGA AGA,"Excess 2, Excess 3, Excess 4, Excess 5, Excess 6, Excess 7, Excess 8, Excess 9"
EXCESS - zine announce,unknown,unknown,01.07.2003,01.07.2003,AMIGA AGA,EXCESS - zine announce
Excretion,unknown,unknown,06.10.1992,31.05.1993,MS-DOS,"Excretion #2, Excretion #3"
Exe-Info,unknown,unknown,31.05.1993,31.05.1993,AMIGA OCS/ECS,Exe-Info 3
Exit,unknown,unknown,01.01.1993,02.07.1999,"AMIGA OCS/ECS, AMIGA AGA","Exit 1, Exit 2, Exit 3, Exit 4, Exit 5, Exit 6, Exit 7, Exit 8, Exit 9, Exit 10"
Exploration,unknown,unknown,04.04.1996,04.04.1996,MS-DOS,"Exploration 1, Exploration 2, Exploration 3"
Explorer,unknown,unknown,10.06.1990,04.04.1996,COMMODORE 64,"Explorer 1, Explorer 2, Explorer 3, Explorer 4, Explorer 5, Explorer 6, Explorer 7, Explorer 8, Explorer 9, Explorer 10, Explorer 11, Explorer 12, Explorer 13, Explorer 14, Explorer 15, Explorer 16, Explorer 17, Explorer 18, Explorer 19, Explorer 20, Explorer 21"
Explosives / Pyrotechnics,unknown,unknown,01.01.1995,01.01.1995,AMIGA OCS/ECS,Explosives / Pyrotechnics 2
Extreme AMOS,unknown,unknown,01.01.1995,01.01.1996,AMIGA OCS/ECS,"Extreme AMOS #1, Extreme AMOS #2, Extreme AMOS #3"
Extreme Assault Review,unknown,unknown,16.05.1997,16.05.1997,MS-DOS,Extreme Assault Review
Eye On Scene Issue,unknown,unknown,01.01.1995,16.05.1997,ATARI ST/E,"Eye On Scene Issue #01, Eye On Scene Issue #02"
F-14 Fleet Defender Review,unknown,unknown,06.03.1994,06.03.1994,MS-DOS,F-14 Fleet Defender Review
F/A-18 Hornet 3.0 Review,unknown,unknown,02.04.1997,02.04.1997,MS-DOS,F/A-18 Hornet 3.0 Review
"F.A.S.T.E.R. VOLUME 1, NO.",unknown,unknown,02.04.1997,02.04.1997,ATARI ST/E,"F.A.S.T.E.R. VOLUME 1, NO. 1, F.A.S.T.E.R. VOLUME 1, NO. 2, F.A.S.T.E.R. VOLUME 1, NO. 3, F.A.S.T.E.R. VOLUME 1, NO. 4, F.A.S.T.E.R. VOLUME 1, NO. 5, F.A.S.T.E.R. VOLUME 1, NO. 6"
"F.A.S.T.E.R. VOLUME 2, NO.",unknown,unknown,02.04.1997,02.04.1997,ATARI ST/E,"F.A.S.T.E.R. VOLUME 2, NO. 1, F.A.S.T.E.R. VOLUME 2, NO. 2, F.A.S.T.E.R. VOLUME 2, NO. 3, F.A.S.T.E.R. VOLUME 2, NO. 4, F.A.S.T.E.R. VOLUME 2, NO. 5"
F.O.G. 9 Shell,unknown,unknown,02.04.1997,02.04.1997,ATARI FALCON,F.O.G. 9 Shell
F0nt,unknown,unknown,02.04.1997,02.04.1997,AMIGA OCS/ECS,"F0nt 1, F0nt 2, F0nt 3, F0nt 4, F0nt 5, F0nt 6, F0nt 7"
Factor Zyn,unknown,unknown,02.04.1997,02.04.1997,PAPER,Factor Zyn 1
Facts and Features,unknown,unknown,02.04.1997,02.04.1997,COMMODORE 64,Facts and Features #01
The Fake,unknown,unknown,01.01.1992,01.01.1992,COMMODORE 64,"The Fake #01, The Fake #02"
Falcon update digital issue,unknown,unknown,01.09.1994,02.02.1995,ATARI FALCON,"Falcon update digital issue 6, Falcon update digital issue 7, Falcon update digital issue 8, Falcon update digital issue 9"
Falk'Mag Bercy Special V1,unknown,unknown,02.02.1995,02.02.1995,ATARI FALCON,Falk'Mag Bercy Special V1
Falk'Mag Bercy Special V2,unknown,unknown,02.02.1995,02.02.1995,ATARI FALCON,Falk'Mag Bercy Special V2
Falk'Mag Issue,unknown,unknown,02.02.1995,02.02.1995,"ATARI FALCON, BROWSER","Falk'Mag Issue 01, Falk'Mag Issue 02, Falk'Mag Issue 03, Falk'Mag Issue 04, Falk'Mag Issue 05, Falk'Mag Issue 06, Falk'Mag Issue 07, Falk'Mag Issue 08, Falk'Mag Issue 09"
Fallen Haven Review,unknown,unknown,04.03.1997,04.03.1997,MS-DOS,Fallen Haven Review
Fantasy Empires Review,unknown,unknown,17.10.1993,17.10.1993,MS-DOS,Fantasy Empires Review
Fanzine,unknown,unknown,17.10.1993,17.10.1993,AMIGA OCS/ECS,"Fanzine #1 Preview, Fanzine 8, Fanzine 9, Fanzine 10, Fanzine 11, Fanzine 12, Fanzine 13"
Fastidium,unknown,unknown,01.01.1995,01.01.1997,"AMIGA OCS/ECS, AMIGA AGA",Fastidium 1
Fat Agnus,unknown,unknown,01.01.1992,10.02.1998,AMIGA OCS/ECS,"Fat Agnus 1, Fat Agnus 2, Fat Agnus 3, Fat Agnus 4, Fat Agnus 5, Fat Agnus 6, Fat Agnus 7, Fat Agnus 8, Fat Agnus 9, Fat Agnus 10, Fat Agnus 11, Fat Agnus 12, Fat Agnus 13, Fat Agnus 14, Fat Agnus 15, Fat Agnus 16, Fat Agnus 17, Fat Agnus 18, Fat Agnus 19, Fat Agnus 20"
Fatal News,unknown,unknown,16.08.1990,10.02.1998,COMMODORE 64,"Fatal News 1, Fatal News 2, Fatal News 3, Fatal News 4, Fatal News 5, Fatal News 6, Fatal News 7, Fatal News 8, Fatal News 9, Fatal News 10, Fatal News 11"
Fear Newsletter,unknown,unknown,05.05.1991,05.05.1991,MS-DOS,Fear Newsletter #2 (Fear/LE)
Feedback,unknown,unknown,05.05.1991,24.12.1996,AMIGA AGA,"Feedback 1, Feedback 3, Feedback 4"
Fenomena,unknown,unknown,24.12.1996,24.12.1996,AMIGA OCS/ECS,Fenomena 1
FIFA Soccer Manager Review,unknown,unknown,23.06.1997,23.06.1997,MS-DOS,FIFA Soccer Manager Review
Filler,unknown,unknown,01.01.1996,01.01.1996,ATARI ST/E,"Filler #1 Disk Mag, Filler #2 Disk Mag"
The Final Ecstasy 1/89,unknown,unknown,12.09.1989,12.09.1989,AMIGA OCS/ECS,The Final Ecstasy 1/89
The Final Ecstasy 1/90,unknown,unknown,06.01.1990,06.01.1990,AMIGA OCS/ECS,The Final Ecstasy 1/90
The Final Frontier,unknown,unknown,06.01.1990,19.11.1995,AMIGA OCS/ECS,"The Final Frontier 1, The Final Frontier 2, The Final Frontier 3, The Final Frontier 7, The Final Frontier 8, The Final Frontier 9"
Fintris Delux + Uptris Review,unknown,unknown,23.09.1993,23.09.1993,MS-DOS,Fintris Delux + Uptris Review
Fire And Ice Quick Dox,unknown,unknown,25.11.1993,25.11.1993,MS-DOS,Fire And Ice Quick Dox
Flap,unknown,unknown,01.01.1998,01.01.1998,MS-DOS,Flap #1
Flash,unknown,unknown,02.09.1992,16.05.1996,"AMIGA OCS/ECS, MS-DOS",Flash 1
Fleshworld,unknown,unknown,11.04.1992,11.04.1992,AMIGA OCS/ECS,Fleshworld 1
Fleur,unknown,unknown,03.03.1998,11.05.1999,MS-DOS,"Fleur 1, Fleur 2, Fleur 3"
Flipout Review,unknown,unknown,11.03.1997,11.03.1997,MS-DOS,Flipout Review
Flop,unknown,unknown,11.03.1997,30.12.2022,ATARI 8 BIT,"Flop 01, Flop 02, Flop 03, Flop 04, Flop 05, Flop 06, Flop 07, Flop 08, Flop 09, Flop 10, Flop 11, Flop 12, Flop 13, Flop 14, Flop 15, Flop 16, Flop 17, Flop 18, Flop 19, Flop 20, Flop 21, Flop 22, Flop 23, Flop 24, Flop 25, Flop 26, Flop 27, Flop 28, Flop 29, Flop 30, Flop 31, Flop 32, Flop 33, Flop 34, Flop 35, Flop 36, Flop 37, Flop 38, Flop 39, Flop 40, Flop 43, Flop 44, Flop 45, Flop 46, Flop 47, Flop 48, Flop 49, Flop 50, Flop 51, Flop 52, Flop 53, Flop 54, Flop 55, Flop 56, Flop 57, Flop 58, Flop 59, Flop 60, Flop 61, Flop 62, Flop 63, Flop 64, Flop 65, Flop 66, Flop 67"
Flop 41/42,unknown,unknown,30.12.2022,30.12.2022,ATARI 8 BIT,Flop 41/42
Fölény,unknown,unknown,03.02.1991,08.04.1991,COMMODORE 64,"Fölény #1, Fölény #2, Fölény #3"
Forbes Corporate Warrior Review,unknown,unknown,11.08.1997,11.08.1997,MS-DOS,Forbes Corporate Warrior Review
Fourth Dimension,unknown,unknown,20.03.1990,23.05.1991,AMIGA OCS/ECS,"Fourth Dimension 1, Fourth Dimension 2, Fourth Dimension 3, Fourth Dimension 4, Fourth Dimension 5, Fourth Dimension 6"
Fraud,unknown,unknown,25.09.1990,07.11.1991,AMIGA OCS/ECS,"Fraud 2, Fraud 3, Fraud 4, Fraud 5, Fraud 6"
Free,unknown,unknown,28.11.1989,28.11.1989,COMMODORE 64,Free #01
Free Ads,unknown,unknown,28.11.1989,28.11.1989,AMIGA OCS/ECS,Free Ads 1
Free'n'Easy,unknown,unknown,01.01.1991,01.02.1992,AMIGA OCS/ECS,"Free'n'Easy 1, Free'n'Easy 2, Free'n'Easy 3"
Freedom Crack,unknown,unknown,20.07.1990,08.02.1992,AMIGA OCS/ECS,"Freedom Crack 1, Freedom Crack 2, Freedom Crack 3, Freedom Crack 4, Freedom Crack 5, Freedom Crack 6, Freedom Crack 7, Freedom Crack 8, Freedom Crack 9, Freedom Crack 10, Freedom Crack 11"
Freedom Crack 3 Intro,unknown,unknown,08.02.1992,08.02.1992,AMIGA OCS/ECS,Freedom Crack 3 Intro
Freestyle,unknown,unknown,01.01.1992,13.04.1992,MS-DOS,"Freestyle 1, Freestyle 2, Freestyle 3, Freestyle 4, Freestyle 5, Freestyle 6, Freestyle 7, Freestyle 8, Freestyle 9, Freestyle 10"
French Charts,unknown,unknown,11.08.1995,11.08.1995,AMIGA AGA,French Charts 1
Fresh'n Sticky,unknown,unknown,11.08.1995,11.08.1995,COMMODORE 64,Fresh'n Sticky 5
Friendchip,unknown,unknown,07.11.1996,07.11.1996,AMIGA OCS/ECS,Friendchip 1
The Front,unknown,unknown,23.04.1990,23.04.1990,AMIGA OCS/ECS,The Front 1
Front Page Sports Baseball 98 Review,unknown,unknown,29.05.1997,29.05.1997,MS-DOS,Front Page Sports Baseball 98 Review
Front Page Sports Golf Review,unknown,unknown,17.05.1997,17.05.1997,MS-DOS,Front Page Sports Golf Review
Frontpage,unknown,unknown,01.01.1989,29.12.1992,COMMODORE 64,"Frontpage 1, Frontpage 2, Frontpage 3, Frontpage 4, Frontpage 5, Frontpage 6, Frontpage 7, Frontpage 8, Frontpage 9, Frontpage 10, Frontpage 11, Frontpage 12, Frontpage 13, Frontpage 14, Frontpage 15, Frontpage 16, Frontpage 17, Frontpage 18, Frontpage 19, Frontpage 20, Frontpage 21, Frontpage 22, Frontpage 23, Frontpage 24, Frontpage 25, Frontpage 26, Frontpage 27, Frontpage 28"
FSN,unknown,unknown,06.01.1998,14.03.1998,MS-DOS,"FSN #1, FSN #3"
Fuckmonkey,unknown,unknown,14.03.1998,01.01.2000,MS-DOS,"Fuckmonkey #1, Fuckmonkey #2, Fuckmonkey #3, Fuckmonkey #4, Fuckmonkey #5, Fuckmonkey #6, Fuckmonkey #7"
Fun Disk,unknown,unknown,01.01.1990,01.01.1990,AMIGA OCS/ECS,Fun Disk 3
Funscape Mag,unknown,unknown,01.01.1990,01.01.1990,ATARI FALCON,Funscape Mag #1.5
Funzine,unknown,unknown,01.01.1990,01.01.1990,AMIGA OCS/ECS,"Funzine 2, Funzine 3"
Fusion Issue,unknown,unknown,01.01.1990,01.01.1990,ATARI ST/E,Fusion Issue 2
Futura – Issue,unknown,unknown,01.01.1990,01.01.1990,ATARI 8 BIT,"Futura – Issue 1, Futura – Issue 2, Futura – Issue 3, Futura – Issue 4, Futura – Issue 5, Futura – Issue 6, Futura – Issue 7, Futura – Issue 8, Futura – Issue 9, Futura – Issue 10, Futura – Issue 11, Futura – Issue 12, Futura – Issue 13, Futura – Issue 14, Futura – Issue 15, Futura – Issue 16, Futura – Issue 17, Futura – Issue 18, Futura – Issue 19, Futura – Issue 20, Futura – Issue 21"
Fuzzby,unknown,unknown,01.01.1990,01.01.1990,MS-DOS,Fuzzby #0
Fuzzy's World Of Miniature Space Golf Review,unknown,unknown,27.05.1995,27.05.1995,MS-DOS,Fuzzy's World Of Miniature Space Golf Review
G Bug Diskazine Vol. D2 – No.,unknown,unknown,27.05.1995,27.05.1995,ATARI ST/E,G Bug Diskazine Vol. D2 – No. 5
Galactic,unknown,unknown,25.02.1991,03.03.1991,MS-DOS,"Galactic #1, Galactic #2"
Galactic Review,unknown,unknown,10.03.1991,01.07.1991,MS-DOS,"Galactic Review #3, Galactic Review #4, Galactic Review #5, Galactic Review #6, Galactic Review #7, Galactic Review #8, Galactic Review #9, Galactic Review #10, Galactic Review #11"
The Gallery,unknown,unknown,24.05.1994,24.05.1994,AMIGA AGA,The Gallery 1
Gambuzja,unknown,unknown,16.07.1995,16.07.1995,AMIGA OCS/ECS,Gambuzja 1
Game Corner Q1/2014,unknown,unknown,05.05.2014,05.05.2014,COMMODORE 64,Game Corner Q1/2014
Game Corner Q1-Q4/2013,unknown,unknown,20.01.2014,20.01.2014,COMMODORE 64,Game Corner Q1-Q4/2013
Game Corner Q2/2015,unknown,unknown,23.09.2015,23.09.2015,COMMODORE 64,Game Corner Q2/2015
Game Over(View),unknown,unknown,04.01.2004,21.02.2007,COMMODORE 64,"Game Over(View) 1, Game Over(View) 2, Game Over(View) 3, Game Over(View) 4, Game Over(View) 5, Game Over(View) 6, Game Over(View) 7, Game Over(View) 8, Game Over(View) 9, Game Over(View) 10, Game Over(View) 11, Game Over(View) 12, Game Over(View) 13, Game Over(View) 14, Game Over(View) 15, Game Over(View) 16, Game Over(View) 17, Game Over(View) 18, Game Over(View) 19, Game Over(View) 20, Game Over(View) 21, Game Over(View) 22, Game Over(View) 23, Game Over(View) 24, Game Over(View) 25, Game Over(View) 26, Game Over(View) 27, Game Over(View) 28, Game Over(View) 29, Game Over(View) 30, Game Over(View) 31, Game Over(View) 32, Game Over(View) 33, Game Over(View) 34, Game Over(View) 35"
The Game Scene Chart,unknown,unknown,01.10.2006,06.04.2007,WINDOWS,"The Game Scene Chart 2, The Game Scene Chart 3, The Game Scene Chart 4, The Game Scene Chart 5, The Game Scene Chart 6, The Game Scene Chart 7, The Game Scene Chart 8"
The Game Scene Charts,unknown,unknown,31.01.2011,31.01.2011,WINDOWS,The Game Scene Charts 50
The Gamers Edge,unknown,unknown,28.06.1997,20.01.2002,MS-DOS,"The Gamers Edge #1, The Gamers Edge #2, The Gamers Edge #3, The Gamers Edge #4, The Gamers Edge #5 (Re-Release), The Gamers Edge #5"
Gamers Guide,unknown,unknown,20.12.1990,03.04.1995,COMMODORE 64,"Gamers Guide #1, Gamers Guide #2, Gamers Guide #3, Gamers Guide #4, Gamers Guide #5, Gamers Guide #6, Gamers Guide #7, Gamers Guide #8, Gamers Guide #9, Gamers Guide 10, Gamers Guide 11, Gamers Guide 12, Gamers Guide 13, Gamers Guide 14, Gamers Guide 15, Gamers Guide 15.5, Gamers Guide 16, Gamers Guide 17, Gamers Guide 18, Gamers Guide 19, Gamers Guide 20, Gamers Guide 21, Gamers Guide 22, Gamers Guide 23, Gamers Guide 24, Gamers Guide 25"
Gamers Guide Note Special,unknown,unknown,03.04.1995,03.04.1995,COMMODORE 64,Gamers Guide Note Special
Games Release List V,unknown,unknown,16.10.1992,16.10.1992,AMIGA OCS/ECS,Games Release List V
Games Release List VI,unknown,unknown,04.01.1993,04.01.1993,AMIGA OCS/ECS,Games Release List VI
Garfield News,unknown,unknown,15.10.1990,15.09.1991,COMMODORE 64,"Garfield News #1, Garfield News #2, Garfield News #3, Garfield News #4, Garfield News #5, Garfield News #6, Garfield News #7, Garfield News #8"
A-Gate,unknown,unknown,01.01.1995,01.01.1996,AMIGA OCS/ECS,"A-Gate 1, A-Gate 2"
GBG-Toppen 8/95,unknown,unknown,01.01.1996,01.01.1996,AMIGA OCS/ECS,GBG-Toppen 8/95
GBG-Toppen 12/95,unknown,unknown,01.01.1996,01.01.1996,AMIGA OCS/ECS,GBG-Toppen 12/95
GDI 1 –,unknown,unknown,01.01.1996,01.01.1996,ATARI ST/E,"GDI 1 – 1, GDI 1 – 2"
GDI 2 –,unknown,unknown,01.01.1996,01.01.1996,ATARI ST/E,GDI 2 – 3
Gedan,unknown,unknown,26.10.1994,27.03.1996,"AMIGA OCS/ECS, AMIGA AGA","Gedan 1, Gedan 2, Gedan 3, Gedan 4"
Gedan - Przypadkowy,unknown,unknown,14.02.1995,14.02.1995,AMIGA OCS/ECS,Gedan - Przypadkowy
Generation,unknown,unknown,21.08.1992,30.04.1997,"AMIGA OCS/ECS, AMIGA AGA","Generation 1, Generation 2, Generation 3, Generation 4, Generation 5, Generation 6, Generation 7, Generation 8, Generation 9, Generation 10, Generation 11, Generation 12, Generation 13, Generation 14, Generation 15, Generation 16, Generation 17, Generation 18, Generation 19, Generation 20, Generation 21, Generation 22, Generation 23, Generation 24, Generation 25, Generation 26, Generation 27"
Generation 25b Special Edition,unknown,unknown,30.04.1997,30.04.1997,AMIGA AGA,Generation 25b Special Edition
Generation Z,unknown,unknown,01.04.2002,20.01.2009,ZX SPECTRUM,"Generation Z #1, Generation Z #2, Generation Z #3, Generation Z #3.5, Generation Z #3.75, Generation Z #4, Generation Z #5, Generation Z #5,5 - The Last Insanity"
Genetic Dreams,unknown,unknown,27.12.1991,01.08.1995,"COMMODORE 64, MS-DOS","Genetic Dreams #1, Genetic Dreams #2, Genetic Dreams #3, Genetic Dreams #4, Genetic Dreams #7, Genetic Dreams #8, Genetic Dreams #9, Genetic Dreams #10, Genetic Dreams #11, Genetic Dreams #12, Genetic Dreams #13, Genetic Dreams #14, Genetic Dreams #15, Genetic Dreams #16, Genetic Dreams #17"
German Charts,unknown,unknown,27.05.1993,19.09.1994,AMIGA OCS/ECS,"German Charts 1, German Charts 2"
German Scene Report,unknown,unknown,19.12.1995,19.12.1995,MS-DOS,German Scene Report #1
Ghoul's Fanz,unknown,unknown,01.01.1993,26.03.1995,AMSTRAD CPC,"Ghoul's Fanz, Ghoul's Fanz #1, Ghoul's Fanz 2, Ghoul's Fanz 3, Ghoul's Fanz 4"
Glaz,unknown,unknown,01.01.1997,25.03.1999,"AMIGA OCS/ECS, AMIGA AGA","Glaz 1, Glaz 2, Glaz 3"
Global Domination Review,unknown,unknown,16.10.1993,16.10.1993,MS-DOS,Global Domination Review
Global News,unknown,unknown,16.10.1993,16.10.1993,AMIGA AGA,Global News 1
Glos Lamera,unknown,unknown,16.10.1993,16.10.1993,AMIGA OCS/ECS,"Glos Lamera 1, Glos Lamera 2"
"Glos Lamera 3,4",unknown,unknown,01.01.1992,01.01.1992,AMIGA OCS/ECS,"Glos Lamera 3,4"
Golden Arches,unknown,unknown,01.01.1992,01.01.1992,MS-DOS,Golden Arches #2
Golden Dawn Disk-Mag Issue,unknown,unknown,01.01.1992,01.01.1992,ATARI ST/E,Golden Dawn Disk-Mag Issue 1
Golden Power Disc,unknown,unknown,01.01.1992,01.01.1992,MSX,"Golden Power Disc 1, Golden Power Disc 2, Golden Power Disc 3, Golden Power Disc 4, Golden Power Disc 5, Golden Power Disc 6, Golden Power Disc 7, Golden Power Disc 8, Golden Power Disc 9, Golden Power Disc 10, Golden Power Disc 11, Golden Power Disc 12"
The Golden Sun News Special Issue,unknown,unknown,01.01.1989,01.01.1989,AMIGA OCS/ECS,The Golden Sun News Special Issue
Golf Pro 2000 Review,unknown,unknown,04.05.1997,04.05.1997,MS-DOS,Golf Pro 2000 Review
Gone Fishin' CD Rom Rip Review,unknown,unknown,14.12.1994,14.12.1994,MS-DOS,Gone Fishin' CD Rom Rip Review
Gooch Grundys X-Decathlon Review,unknown,unknown,21.05.1997,21.05.1997,MS-DOS,Gooch Grundys X-Decathlon Review
Gothiq,unknown,unknown,21.05.1997,21.05.1997,ZX SPECTRUM,Gothiq 1
Gp2brew,unknown,unknown,21.05.1997,21.05.1997,GAMEPARK 32,Gp2brew
