issue,title,platform,group,release,release_converted,link,download_links,external_download_links
"SWO #1, Scene World #1","SWO, Scene World",Commodore 64,"People of Liberty, Pseudo-soft Works, Scene World Magazine",28 February 2001,28.02.2001,https://csdb.dk//release/?id=4395,"http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_01.D64, http://www.cbmhardware.de/dlmanager/files/sceneworld/swo_01.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_01.zip, http://csdb.dk/getinternalfile.php/1202/swo_01.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_01.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%201&sourceid=csdb
"SWO #10, Scene World #10","SWO, Scene World",Commodore 64,"People of Liberty, Pseudo-soft Works, Scene World Magazine",14 February 2004,14.02.2004,https://csdb.dk//release/?id=11860,"http://csdb.dk/getinternalfile.php/1295/swo10all.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_10_d64.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_10.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_10_d81.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2010&sourceid=csdb
"SWO #11, Scene World #11","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",15 May 2004,15.05.2004,https://csdb.dk//release/?id=13135,"http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo11all.zip, http://www.cbmhardware.de/dlmanager/files/sceneworld/swo11all.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_11_d64.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_11_d81.zip, http://csdb.dk/getinternalfile.php/2346/swo11all.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_11.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2011&sourceid=csdb
"SWO #12, Scene World #12","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",31 August 2004,31.08.2004,https://csdb.dk//release/?id=14351,"http://csdb.dk/getinternalfile.php/2980/swo12all.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_12_d81.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_12_d64.zip, ftp://ftp.scs-trc.net/pub/c64/Magazines/Sceneworld/Sceneworld_12.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2012&sourceid=csdb
"SWO #13, Scene World #13","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",27 November 2004,27.11.2004,https://csdb.dk//release/?id=15416,"http://csdb.dk/getinternalfile.php/3599/SWO13all.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_13_d64.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_13_d81.zip, ftp://ftp.scs-trc.net/pub/c64/Magazines/Sceneworld/Sceneworld_13.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2013&sourceid=csdb
"SWO #14, Scene World #14","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",1 April 2005,01.04.2005,https://csdb.dk//release/?id=17639,"http://csdb.dk/getinternalfile.php/5929/swo14all.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_14_d64.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_14_d81.zip, ftp://ftp.scs-trc.net/pub/c64/Magazines/Sceneworld/Sceneworld_14.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2014&sourceid=csdb
"SWO #15, Scene World #15","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",1 September 2005,01.09.2005,https://csdb.dk//release/?id=20194,"http://csdb.dk/getinternalfile.php/8111/issue15all.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_15_d81.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_15_d64.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2015&sourceid=csdb
"SWO #2, Scene World #2","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",15 February 2002,15.02.2002,https://csdb.dk//release/?id=4392,"http://www.cbmhardware.de/dlmanager/files/sceneworld/swo_02.zip, http://csdb.dk/getinternalfile.php/1203/swo_02.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_02.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%202&sourceid=csdb
"SWO #24, Scene World #24","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",12 February 2015,12.02.2015,https://csdb.dk//release/?id=136508,http://csdb.dk/getinternalfile.php/136242/swo-24.zip,http://ftp.pokefinder.org/index.php?s=Scene%20World%2024&sourceid=csdb
"SWO #25, Scene World #25","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",18 September 2015,18.09.2015,https://csdb.dk//release/?id=141275,"http://csdb.dk/getinternalfile.php/141610/d64 release.zip, http://csdb.dk/getinternalfile.php/141611/d81.zip, http://csdb.dk/getinternalfile.php/141612/IDE64_compatible_startup_for_side_25.1.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2025&sourceid=csdb
"SWO #27, Scene World #27","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",26 April 2017,26.04.2017,https://csdb.dk//release/?id=155770,http://csdb.dk/getinternalfile.php/157689/swo-27.zip,http://ftp.pokefinder.org/index.php?s=Scene%20World%2027&sourceid=csdb
"SWO #3, Scene World #3","SWO, Scene World",Commodore 64,"People of Liberty, Pseudo-soft Works, Scene World Magazine",1 May 2002,01.05.2002,https://csdb.dk//release/?id=5087,"http://www.cbmhardware.de/dlmanager/files/sceneworld/swo_03.zip, http://csdb.dk/getinternalfile.php/1204/swo_03.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_03.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%203&sourceid=csdb
"SWO #4, Scene World #4","SWO, Scene World",Commodore 64,"People of Liberty, Pseudo-soft Works, Scene World Magazine",13 August 2002,13.08.2002,https://csdb.dk//release/?id=6592,"http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_04.zip, http://csdb.dk/getinternalfile.php/1205/swo_04.zip, http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_04.D64, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_04.zip, http://www.c64.sk/files/sceneworld04.zip, http://www.cbmhardware.de/dlmanager/files/sceneworld/swo_04.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%204&sourceid=csdb
"SWO #5, Scene World #5","SWO, Scene World",Commodore 64,"People of Liberty, Pseudo-soft Works, Scene World Magazine",1 November 2002,01.11.2002,https://csdb.dk//release/?id=7184,"http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_05.zip, http://www.cbmhardware.de/dlmanager/files/sceneworld/swo_05.zip, http://csdb.dk/getinternalfile.php/1206/swo_05.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%205&sourceid=csdb
"SWO #6, Scene World #6","SWO, Scene World",Commodore 64,"People of Liberty, Pseudo-soft Works, Scene World Magazine",15 February 2003,15.02.2003,https://csdb.dk//release/?id=7882,"http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_06.zip, http://csdb.dk/getinternalfile.php/1207/swo_06.zip, http://www.cbmhardware.de/dlmanager/files/sceneworld/swo_06.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_06.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%206&sourceid=csdb
"SWO #7, Scene World #7","SWO, Scene World",Commodore 64,"People of Liberty, Pseudo-soft Works, Scene World Magazine",1 May 2003,01.05.2003,https://csdb.dk//release/?id=8635,"http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_07.zip, http://csdb.dk/getinternalfile.php/1208/swo_07.zip, http://www.cbmhardware.de/dlmanager/files/sceneworld/swo_07.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_07.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%207&sourceid=csdb
"SWO #9, Scene World #9","SWO, Scene World",Commodore 64,"People of Liberty, Pseudo-soft Works, Scene World Magazine",15 November 2003,15.11.2003,https://csdb.dk//release/?id=10879,"http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_09.zip, http://csdb.dk/getinternalfile.php/606/swo_09.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_09.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%209&sourceid=csdb
"SWO# 8, Scene World #8","SWO, Scene World",Commodore 64,"People of Liberty, Pseudo-soft Works, Scene World Magazine",15 August 2003,15.08.2003,https://csdb.dk//release/?id=9776,"http://home.arcor.de/sceneworld/Sceneworld2/Swo/downloads/issues/swo_08.zip, http://csdb.dk/getinternalfile.php/1209/swo_08.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_08.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%208&sourceid=csdb
"SWO#16, (), Scene World #16","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",25 May 2010,25.05.2010,https://csdb.dk//release/?id=91943,"http://csdb.dk/getinternalfile.php/89333/swo 16.zip, http://csdb.dk/getinternalfile.php/89334/swo16-81.zip, http://csdb.dk/getinternalfile.php/89456/issue16all.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_16.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2016&sourceid=csdb
"SWO#17, Scene World #17","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",28 August 2011,28.08.2011,https://csdb.dk//release/?id=101746,"http://csdb.dk/getinternalfile.php/99330/swo#17-.all.zip, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_17.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2017&sourceid=csdb
"SWO#18, (), Scene World #18","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",14 March 2012,14.03.2012,https://csdb.dk//release/?id=106679,"http://csdb.dk/getinternalfile.php/106182/swo_18.d64, ftp://ftp.padua.org/pub/c64/Magazines/scene_world/scene_world_18.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2018&sourceid=csdb
"SWO#19, (), Scene World #19","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",12 August 2012,12.08.2012,https://csdb.dk//release/?id=110621,"http://csdb.dk/getinternalfile.php/107984/SWO#19.d64, http://csdb.dk/getinternalfile.php/109078/SWO#19.d81.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2019&sourceid=csdb
"SWO#20, Scene World #20","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",4 January 2013,04.01.2013,https://csdb.dk//release/?id=114274,"http://csdb.dk/getinternalfile.php/112137/SWO#20_d64.zip, http://csdb.dk/getinternalfile.php/112138/SWO#20.d81",http://ftp.pokefinder.org/index.php?s=Scene%20World%2020&sourceid=csdb
"SWO#21, Scene World #21","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",21 August 2013,21.08.2013,https://csdb.dk//release/?id=121249,"http://csdb.dk/getinternalfile.php/119702/SWO#21.d64, http://csdb.dk/getinternalfile.php/119703/SWO#21-1581.d81",http://ftp.pokefinder.org/index.php?s=Scene%20World%2021&sourceid=csdb
"SWO#22, Scene World #22","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",20 January 2014,20.01.2014,https://csdb.dk//release/?id=127895,"http://sceneworld.org/assets/downloads/issues/swo-22.zip, http://csdb.dk/getinternalfile.php/126652/swo-22.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2022&sourceid=csdb
"SWO#23, Scene World #23","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",29 June 2014,29.06.2014,https://csdb.dk//release/?id=131632,"http://sceneworld.org/assets/downloads/issues/swo-23.zip, http://csdb.dk/getinternalfile.php/132664/swo-23.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2023&sourceid=csdb
"SWO#26, Scene World #26","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",30 April 2016,30.04.2016,https://csdb.dk//release/?id=147994,http://csdb.dk/getinternalfile.php/149057/swo-26.zip,http://ftp.pokefinder.org/index.php?s=Scene%20World%2026&sourceid=csdb
"SWO#28, Scene World #28","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",2 June 2018,02.06.2018,https://csdb.dk//release/?id=165201,http://csdb.dk/getinternalfile.php/168014/swo-28.zip,http://ftp.pokefinder.org/index.php?s=Scene%20World%2028&sourceid=csdb
"SWO#29, Scene World #29","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",18 August 2019,18.08.2019,https://csdb.dk//release/?id=180819,http://csdb.dk/getinternalfile.php/187476/SWO#29.zip,http://ftp.pokefinder.org/index.php?s=Scene%20World%2029&sourceid=csdb
"SWO#30, Scene World #30","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",11 November 2020,11.11.2020,https://csdb.dk//release/?id=197459,"http://csdb.dk/getinternalfile.php/205811/SWO#30All.zip, https://sceneworld.org/assets/downloads/issues/swo-30.zip",http://ftp.pokefinder.org/index.php?s=Scene%20World%2030&sourceid=csdb
"SWO#31, Scene World #31","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",29 April 2022,29.04.2022,https://csdb.dk//release/?id=217380,https://csdb.dk/getinternalfile.php/228488/swo-31.zip,http://ftp.pokefinder.org/index.php?s=Scene%20World%2031&sourceid=csdb
"SWO#32, Scene World #32","SWO, Scene World",Commodore 64,"People of Liberty, Scene World Magazine",26 November 2022,26.11.2022,https://csdb.dk//release/?id=226158,https://csdb.dk/getinternalfile.php/238437/swo-32.zip,http://ftp.pokefinder.org/index.php?s=Scene%20World%2032&sourceid=csdb
"Syntax Edition, Vandalism News #52",Vandalism News,Commodore 64,"Onslaught, Vandalism News Staff, Wrath Designs",31 October 2009,31.10.2009,https://csdb.dk//release/?id=84122,http://csdb.dk/getinternalfile.php/80846/Vandalism_News_52.zip,http://ftp.pokefinder.org/index.php?s=Vandalism%20News%2052&sourceid=csdb
Tainted #3,Tainted,Commodore 64,Battery,16 February 1992,16.02.1992,https://csdb.dk//release/?id=60718,http://csdb.dk/getinternalfile.php/52516/Tainted_03.zip,http://ftp.pokefinder.org/index.php?s=Tainted%203&sourceid=csdb
Talk a Lot #1,Talk a Lot,Commodore 64,Black Code Design,1993,01.01.1993,https://csdb.dk//release/?id=5531,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Talk_a_Lot/Talkalot_01.zip, http://csdb.dk/getinternalfile.php/65805/Talkalot_01.zip",http://ftp.pokefinder.org/index.php?s=Talk%20a%20Lot%201&sourceid=csdb
Talk a Lot #2,Talk a Lot,Commodore 64,Black Code Design,29 March 1994,29.03.1994,https://csdb.dk//release/?id=5532,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Talk_a_Lot/Talkalot_02.zip, http://csdb.dk/getinternalfile.php/65806/Talkalot_02.zip",http://ftp.pokefinder.org/index.php?s=Talk%20a%20Lot%202&sourceid=csdb
Talk a Lot #3,Talk a Lot,Commodore 64,Black Code Design,1 July 1994,01.07.1994,https://csdb.dk//release/?id=5533,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Talk_a_Lot/Talkalot_03.zip, http://csdb.dk/getinternalfile.php/40443/Talkalot_03.zip",http://ftp.pokefinder.org/index.php?s=Talk%20a%20Lot%203&sourceid=csdb
Talk a Lot #4,Talk a Lot,Commodore 64,Black Code Design,1 September 1994,01.09.1994,https://csdb.dk//release/?id=5534,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Talk_a_Lot/Talkalot_04.zip, http://csdb.dk/getinternalfile.php/65807/Talkalot_04.zip",http://ftp.pokefinder.org/index.php?s=Talk%20a%20Lot%204&sourceid=csdb
Talk a Lot #5,Talk a Lot,Commodore 64,Black Code Design,30 December 1994,30.12.1994,https://csdb.dk//release/?id=5094,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Talk_a_Lot/Talkalot_05.zip, http://csdb.dk/getinternalfile.php/68359/Talk_a_Lot_05.zip",http://ftp.pokefinder.org/index.php?s=Talk%20a%20Lot%205&sourceid=csdb
Talk a Lot Preview,Talk a Lot,Commodore 64,Black Code Design,1993,01.01.1993,https://csdb.dk//release/?id=41447,http://csdb.dk/getinternalfile.php/32006/TALK_A_LOT_PRV!.T64,http://ftp.pokefinder.org/index.php?s=Talk%20a%20Lot%20Preview&sourceid=csdb
TAQ Magazine Volume 001,TAQ Magazine,Commodore 64,The Anarchists of Q,10 August 1993,10.08.1993,https://csdb.dk//release/?id=129891,http://csdb.dk/getinternalfile.php/128886/TAQ MAG DEMO.prg,http://ftp.pokefinder.org/index.php?s=TAQ%20Magazine%20Volume%20001&sourceid=csdb
"TD 130, Tiger-Disk #130",Tiger-Disk,Commodore 64,Tiger-Crew,17 December 2004,17.12.2004,https://csdb.dk//release/?id=25874,http://csdb.dk/getinternalfile.php/13931/dt130.zip,http://ftp.pokefinder.org/index.php?s=TigerDisk%20130&sourceid=csdb
"TD 131, Tiger-Disk #131",Tiger-Disk,Commodore 64,Tiger-Crew,22 July 2005,22.07.2005,https://csdb.dk//release/?id=25875,http://csdb.dk/getinternalfile.php/13932/dt131.zip,http://ftp.pokefinder.org/index.php?s=TigerDisk%20131&sourceid=csdb
"TD 139, Tiger-Disk #139",Tiger-Disk,Commodore 64,Tiger-Crew,16 September 2005,16.09.2005,https://csdb.dk//release/?id=20606,http://csdb.dk/getinternalfile.php/8541/td139.zip,http://ftp.pokefinder.org/index.php?s=TigerDisk%20139&sourceid=csdb
"TD 140, Tiger-Disk #140",Tiger-Disk,Commodore 64,Tiger-Crew,20 October 2005,20.10.2005,https://csdb.dk//release/?id=25876,http://csdb.dk/getinternalfile.php/13933/td140.zip,http://ftp.pokefinder.org/index.php?s=TigerDisk%20140&sourceid=csdb
"TD#109, Tiger-Disk #109",Tiger-Disk,Commodore 64,Tiger-Crew,9 April 2003,09.04.2003,https://csdb.dk//release/?id=8459,http://csdb.dk/getinternalfile.php/69381/td109.zip,http://ftp.pokefinder.org/index.php?s=TigerDisk%20109&sourceid=csdb
"TD, Tiger-Disk #52",Tiger-Disk,Commodore 64,Tiger-Crew,July 1998,01.07.1998,https://csdb.dk//release/?id=5856,http://csdb.dk/getinternalfile.php/40849/td52.zip,http://ftp.pokefinder.org/index.php?s=TigerDisk%2052&sourceid=csdb
Techno 64 #2,Techno 64,Commodore 64,,August 1996,01.08.1996,https://csdb.dk//release/?id=129737,http://csdb.dk/getinternalfile.php/128667/techno64_#02.zip,http://ftp.pokefinder.org/index.php?s=Techno%2064%202&sourceid=csdb
Tega #1 [polish],Tega,Commodore 64,Wizards,October 1993,01.10.1993,https://csdb.dk//release/?id=110507,http://csdb.dk/getinternalfile.php/107856/Tega #1 - Wizards.prg,http://ftp.pokefinder.org/index.php?s=Tega%201%20polish&sourceid=csdb
Tele 64,Tele 64,Commodore 64,Alive,5 September 1992,05.09.1992,https://csdb.dk//release/?id=109676,http://csdb.dk/getinternalfile.php/106978/Tele64 #1 (1992-09-06)(Alive).d64,http://ftp.pokefinder.org/index.php?s=Tele%2064&sourceid=csdb
"The 2021 Xmas Issue, RapidNews #21","Rapid News, RapidNews",Commodore 64,Excess,22 December 2021,22.12.2021,https://csdb.dk//release/?id=212274,https://csdb.dk/getinternalfile.php/222636/RapidNews #21 by [Excess].d64,http://ftp.pokefinder.org/index.php?s=RapidNews%2021&sourceid=csdb
"The 30 years Excess Edition, RapidNews #20","Rapid News, RapidNews",Commodore 64,Excess,29 October 2021,29.10.2021,https://csdb.dk//release/?id=210881,https://csdb.dk/getinternalfile.php/220934/RapidNews #20 by [Excess].d64,http://ftp.pokefinder.org/index.php?s=RapidNews%2020&sourceid=csdb
The Addy Corner #1,The Addy Corner,Commodore 64,Cocoon,10 October 1991,10.10.1991,https://csdb.dk//release/?id=49397,http://csdb.dk/getinternalfile.php/40761/T.A.C.#01____CC.T64,http://ftp.pokefinder.org/index.php?s=The%20Addy%20Corner%201&sourceid=csdb
The Addy Corner #2,The Addy Corner,Commodore 64,Brainbombs [fake rebuild],30 December 1991,30.12.1991,https://csdb.dk//release/?id=102480,http://csdb.dk/getinternalfile.php/100122/the_addy_corner_2-brain_bombs.zip,http://ftp.pokefinder.org/index.php?s=The%20Addy%20Corner%202&sourceid=csdb
The Addy Corner #3,The Addy Corner,Commodore 64,Legacy,2 March 1992,02.03.1992,https://csdb.dk//release/?id=60184,http://csdb.dk/getinternalfile.php/51997/03 (The Addy Corner).d64,http://ftp.pokefinder.org/index.php?s=The%20Addy%20Corner%203&sourceid=csdb
The Addy Corner #4,The Addy Corner,Commodore 64,Legacy,27 April 1992,27.04.1992,https://csdb.dk//release/?id=60185,http://csdb.dk/getinternalfile.php/51998/04 (The Addy Corner).d64,http://ftp.pokefinder.org/index.php?s=The%20Addy%20Corner%204&sourceid=csdb
The Addy Corner #5,The Addy Corner,Commodore 64,Legacy,24 June 1992,24.06.1992,https://csdb.dk//release/?id=60186,http://csdb.dk/getinternalfile.php/51999/T.A.C.#005__L.T64,http://ftp.pokefinder.org/index.php?s=The%20Addy%20Corner%205&sourceid=csdb
The Adventure Guide,The Adventure Guide,Commodore 64,"Battery, Hacksoft",,,https://csdb.dk//release/?id=30319,http://csdb.dk/getinternalfile.php/33184/The_Adventure_Guide.zip,http://ftp.pokefinder.org/index.php?s=The%20Adventure%20Guide&sourceid=csdb
The BBS Listings Magazine October Edition,The BBS Listings Magazine,Commodore 64,"The Nazi Kult, The Rolling Company",31 October 1990,31.10.1990,https://csdb.dk//release/?id=162748,http://csdb.dk/getinternalfile.php/165268/bbslm.d64,http://ftp.pokefinder.org/index.php?s=The%20BBS%20Listings%20Magazine%20October%20Edition&sourceid=csdb
The Beergarden #1,"The beer garden, the beergarden",Commodore 64,Tide,10 October 1995,10.10.1995,https://csdb.dk//release/?id=4464,"ftp://c64.rulez.org/pub/c64/Magazines/The_Beergarden/Tbg1.zip, ftp://ftp.scs-trc.net/pub/c64/Magazines/Beergarden/BeerGarden_01.zip, http://csdb.dk/getinternalfile.php/61795/BeerGarden_01.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%201&sourceid=csdb
The Beergarden #10,"The beer garden, the beergarden",Commodore 64,Tide,May 2003,01.05.2003,https://csdb.dk//release/?id=9253,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Beergarden/BeerGarden_10.zip, http://csdb.dk/getinternalfile.php/6193/the_beer_garden10.zip, ftp://ftp.padua.org/pub/c64/Magazines/the_beergarden/the_beer_garden10.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%2010&sourceid=csdb
The Beergarden #10 (Fixed),"The beer garden, the beergarden",Commodore 64,Tide,19 November 2015,19.11.2015,https://csdb.dk//release/?id=143172,"http://csdb.dk/getinternalfile.php/143829/The_Beergarden_10_fixed_d81.zip, http://csdb.dk/getinternalfile.php/143828/The_Beergarden_10_fixed_d64.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%2010%20Fixed&sourceid=csdb
The Beergarden #2,"The beer garden, the beergarden",Commodore 64,Virus,1 February 1996,01.02.1996,https://csdb.dk//release/?id=4465,"ftp://ftp.padua.org/pub/c64/Magazines/the_beergarden/the_beer_garden2.zip, ftp://c64.rulez.org/pub/c64/Magazines/The_Beergarden/Tbg2.zip, http://csdb.dk/getinternalfile.php/62585/the_beer_garden2.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%202&sourceid=csdb
The Beergarden #3,"The beer garden, the beergarden",Commodore 64,Virus,1 July 1996,01.07.1996,https://csdb.dk//release/?id=4466,"ftp://ftp.padua.org/pub/c64/Magazines/the_beergarden/the_beer_garden3.zip, ftp://c64.rulez.org/pub/c64/Magazines/The_Beergarden/Tbg3.zip, http://csdb.dk/getinternalfile.php/62586/the_beer_garden3.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%203&sourceid=csdb
The Beergarden #4,"The beer garden, the beergarden",Commodore 64,Tide,July 1999,01.07.1999,https://csdb.dk//release/?id=4468,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Beergarden/BeerGarden_04.zip, ftp://c64.rulez.org/pub/c64/Magazines/The_Beergarden/Tbg4.zip, ftp://ftp.padua.org/pub/c64/Magazines/the_beergarden/the_beer_garden4.zip, http://csdb.dk/getinternalfile.php/62587/BeerGarden_04.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%204&sourceid=csdb
The Beergarden #5,"The beer garden, the beergarden",Commodore 64,Tide,February 2000,01.02.2000,https://csdb.dk//release/?id=4469,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Beergarden/BeerGarden_05.zip, ftp://c64.rulez.org/pub/c64/Magazines/The_Beergarden/Tbg5.zip, ftp://ftp.padua.org/pub/c64/Magazines/the_beergarden/the_beer_garden5.zip, http://csdb.dk/getinternalfile.php/62303/BeerGarden_05.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%205&sourceid=csdb
The Beergarden #6,"The beer garden, the beergarden",Commodore 64,Tide,June 2000,01.06.2000,https://csdb.dk//release/?id=5977,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Beergarden/BeerGarden_06.zip, ftp://ftp.padua.org/pub/c64/Magazines/the_beergarden/the_beer_garden6.zip, ftp://c64.rulez.org/pub/c64/Magazines/The_Beergarden/Tbg6.zip, http://csdb.dk/getinternalfile.php/62304/BeerGarden_06.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%206&sourceid=csdb
The Beergarden #7,"The beer garden, the beergarden",Commodore 64,Tide,14 April 2001,14.04.2001,https://csdb.dk//release/?id=5978,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Beergarden/BeerGarden_07.zip, ftp://c64.rulez.org/pub/c64/Magazines/The_Beergarden/Tbg7.zip, ftp://ftp.padua.org/pub/c64/Magazines/the_beergarden/the_beer_garden7.zip, http://csdb.dk/getinternalfile.php/62096/BeerGarden_07.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%207&sourceid=csdb
The Beergarden #8,"The beer garden, the beergarden",Commodore 64,Tide,August 2001,01.08.2001,https://csdb.dk//release/?id=6437,"ftp://ftp.padua.org/pub/c64/Magazines/the_beergarden/the_beer_garden8.zip, ftp://ftp.scs-trc.net/pub/c64/Magazines/Beergarden/BeerGarden_08.zip, http://csdb.dk/getinternalfile.php/59077/Beergarden_08.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%208&sourceid=csdb
The Beergarden #9,"The beer garden, the beergarden",Commodore 64,Tide,August 2002,01.08.2002,https://csdb.dk//release/?id=6965,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Beergarden/BeerGarden_09.zip, http://csdb.dk/getinternalfile.php/61979/BeerGarden_09.zip, ftp://ftp.padua.org/pub/c64/Magazines/the_beergarden/the_beer_garden9.zip",http://ftp.pokefinder.org/index.php?s=The%20Beergarden%209&sourceid=csdb
The Best #0,The Best,Commodore 64,Alpha Flight,1995,01.01.1995,https://csdb.dk//release/?id=20551,http://csdb.dk/getinternalfile.php/8435/The Best#0.zip,http://ftp.pokefinder.org/index.php?s=The%20Best%200&sourceid=csdb
