title,platform,country,country_translated,city,city_translated,language,releases,releases_converted,date_start,date_end,issues,link,download_link
Crazy News,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"01 января 1997, 01 января 1997, 01 января 1997, 01 января 1997, 01 января 1996","01.01.1996, 01.01.1997, 01.01.1997, 01.01.1997, 01.01.1997",01.01.1996,01.01.1997,"Crazy News #1, Crazy News #2, Crazy News #3, Crazy News #4, Crazy News #5",https://zxpress.ru/issue.php?id=308,https://zxpress.ru/d.php?id=308
Crossroads,ZX Spectrum,Россия,Russia,Глазов,Glazov,Russian,"31 октября 1999, 05 сентября 1999, 30 апреля 1999","30.04.1999, 05.09.1999, 31.10.1999",30.04.1999,31.10.1999,"Crossroads #04, Crossroads #05, Crossroads #07",https://zxpress.ru/issue.php?id=45,https://zxpress.ru/d.php?id=45
Crystal Dream,ZX Spectrum,Украина,Ukraine,Луганск,Luhansk,Russian,31 октября 1996,31.10.1996,31.10.1996,31.10.1996,Crystal Dream #01,https://zxpress.ru/issue.php?id=46,https://zxpress.ru/d.php?id=46
Cyberman,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"30 января 1999, 25 января 1999, 20 февраля 1999, 05 февраля 1999","25.01.1999, 30.01.1999, 05.02.1999, 20.02.1999",25.01.1999,20.02.1999,"Cyberman #0602, Cyberman #2102, Cyberman #2601, Cyberman #3101",https://zxpress.ru/issue.php?id=48,https://zxpress.ru/d.php?id=48
CyberSex,ZX Spectrum,,,,,,"19 марта 1999, 22 октября 1998","22.10.1998, 19.03.1999",22.10.1998,19.03.1999,"CyberSex #01, CyberSex #02",https://zxpress.ru/issue.php?id=49,https://zxpress.ru/d.php?id=49
Default,ZX Spectrum,Россия,Russia,Глазов,Glazov,Russian,01 февраля 1999,01.02.1999,01.02.1999,01.02.1999,Default #01,https://zxpress.ru/issue.php?id=331,https://zxpress.ru/d.php?id=331
Deja Vu,ZX Spectrum,Россия,Russia,Кемерово,Kemerovo,Russian,"20 июля 2000, 30 сентября 2000, 13 ноября 1999, 31 мая 1999, 31 декабря 1997, 30 сентября 1998, 31 мая 1998, 31 марта 1998, 31 декабря 1997, 30 сентября 1997, 30 июня 1997, 17 марта 1997","17.03.1997, 30.06.1997, 30.09.1997, 31.12.1997, 31.12.1997, 31.03.1998, 31.05.1998, 30.09.1998, 31.05.1999, 13.11.1999, 20.07.2000, 30.09.2000",17.03.1997,30.09.2000,"Deja Vu #00, Deja Vu #01, Deja Vu #02, Deja Vu #03, Deja Vu #04, Deja Vu #05, Deja Vu #06, Deja Vu #07, Deja Vu #08, Deja Vu #09, Deja Vu #0A, Deja Vu #XX",https://zxpress.ru/issue.php?id=50,https://zxpress.ru/d.php?id=50
Demo or Die,ZX Spectrum,Украина,Ukraine,Черкассы,Cherkasy,Russian,"31 июля 1999, 28 февраля 1999","28.02.1999, 31.07.1999",28.02.1999,31.07.1999,"Demo or Die #01, Demo or Die #02",https://zxpress.ru/issue.php?id=51,https://zxpress.ru/d.php?id=51
Depress,ZX Spectrum,Россия,Russia,Первоуральск,Pervouralsk,Russian,"08 октября 2002, 02 июня 2002, 01 мая 2002","01.05.2002, 02.06.2002, 08.10.2002",01.05.2002,08.10.2002,"Depress #00, Depress #01, Depress #02",https://zxpress.ru/issue.php?id=52,https://zxpress.ru/d.php?id=52
Depth,ZX Spectrum,Украина,Ukraine,Луганск,Luhansk,Russian,"28 февраля 1998, 14 октября 1997, 15 октября 1997","14.10.1997, 15.10.1997, 28.02.1998",14.10.1997,28.02.1998,"Depth #00, Depth #01, Depth #02",https://zxpress.ru/issue.php?id=53,https://zxpress.ru/d.php?id=53
Dermo,ZX Spectrum,Россия,Russia,Калининград,Kaliningrad,Russian,,,,,Dermo #01,https://zxpress.ru/issue.php?id=54,https://zxpress.ru/d.php?id=54
Di Halt,ZX Spectrum,Россия,Russia,Иваново,Ivanovo,Russian,31 декабря 1995,31.12.1995,31.12.1995,31.12.1995,Di Halt #01,https://zxpress.ru/issue.php?id=55,https://zxpress.ru/d.php?id=55
Dni-Pro,ZX Spectrum,Украина,Ukraine,Днепропетровск,Dnepropetrovsk,Russian,"30 марта 2001, 18 ноября 2000","18.11.2000, 30.03.2001",18.11.2000,30.03.2001,"Dni-Pro #01, Dni-Pro #02",https://zxpress.ru/issue.php?id=57,https://zxpress.ru/d.php?id=57
Dnieprobite,ZX Spectrum,Украина,Ukraine,Днепропетровск,Dnepropetrovsk,Russian,"13 ноября 2003, 31 октября 2003, 08 октября 2003, 28 сентября 2003","28.09.2003, 08.10.2003, 31.10.2003, 13.11.2003",28.09.2003,13.11.2003,"Dnieprobite #01, Dnieprobite #02, Dnieprobite #03, Dnieprobite #04",https://zxpress.ru/issue.php?id=56,https://zxpress.ru/d.php?id=56
DonNews,ZX Spectrum,Россия,Russia,Ростов-на-Дону,Rostov-on-Don,Russian,"27 марта 2005, 26 февраля 2004, 26 февраля 2003, 11 декабря 2002, 30 апреля 2002, 22 марта 2002, 16 июля 2001, 26 марта 2001, 01 января 2001, 09 сентября 2000, 21 апреля 2000, 21 января 2000, 12 ноября 1999, 05 июля 1999, 23 апреля 1999, 15 марта 1999, 15 февраля 1999, 06 февраля 1999, 28 января 1999, 19 января 1999, 10 января 1999","10.01.1999, 19.01.1999, 28.01.1999, 06.02.1999, 15.02.1999, 15.03.1999, 23.04.1999, 05.07.1999, 12.11.1999, 21.01.2000, 21.04.2000, 09.09.2000, 01.01.2001, 26.03.2001, 16.07.2001, 22.03.2002, 30.04.2002, 11.12.2002, 26.02.2003, 26.02.2004, 27.03.2005",10.01.1999,27.03.2005,"DonNews #01, DonNews #02, DonNews #03, DonNews #04, DonNews #05, DonNews #06, DonNews #07, DonNews #08, DonNews #09, DonNews #10, DonNews #11, DonNews #12, DonNews #13, DonNews #14, DonNews #15, DonNews #16, DonNews #17, DonNews #18, DonNews #19, DonNews #20, DonNews #21",https://zxpress.ru/issue.php?id=58,https://zxpress.ru/d.php?id=58
Dr. Longman`s News,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,02 февраля 1995,02.02.1995,02.02.1995,02.02.1995,"Dr. Longman`s News #00, Dr. Longman`s News #01, Dr. Longman`s News #02, Dr. Longman`s News #03, Dr. Longman`s News #04",https://zxpress.ru/issue.php?id=59,https://zxpress.ru/d.php?id=59
Du Hast,ZX Spectrum,Россия,Russia,Нижний Новгород,Nizhny Novgorod,Russian,07 июля 2000,07.07.2000,07.07.2000,07.07.2000,Du Hast #01,https://zxpress.ru/issue.php?id=60,https://zxpress.ru/d.php?id=60
Dune,ZX Spectrum,Россия,Russia,Рыбинск,Rybinsk,Russian,31 декабря 1994,31.12.1994,31.12.1994,31.12.1994,"Dune #01, Dune #02, Dune #03, Dune #06, Dune #07",https://zxpress.ru/issue.php?id=61,https://zxpress.ru/d.php?id=61
Ebelka,ZX Spectrum,Россия,Russia,Казань,Kazan,Russian,04 апреля 2000,04.04.2000,04.04.2000,04.04.2000,Ebelka #01,https://zxpress.ru/issue.php?id=62,https://zxpress.ru/d.php?id=62
Echo,ZX Spectrum,Беларусь,Belarus,Брест,Brest,Russian,"31 октября 2000, 30 июня 2000, 31 августа 1998, 31 января 1997, 31 марта 1997, 30 ноября 1996, 31 октября 1996","31.10.1996, 30.11.1996, 31.01.1997, 31.03.1997, 31.08.1998, 30.06.2000, 31.10.2000",31.10.1996,31.10.2000,"Echo #01, Echo #02, Echo #03, Echo #04, Echo #05, Echo #06, Echo #07",https://zxpress.ru/issue.php?id=63,https://zxpress.ru/d.php?id=63
Eldorado,ZX Spectrum,Россия,Russia,Ярославль,Yaroslavl,Russian,"19 января 1996, 31 декабря 1994","31.12.1994, 19.01.1996",31.12.1994,19.01.1996,"Eldorado #01, Eldorado #02",https://zxpress.ru/issue.php?id=64,https://zxpress.ru/d.php?id=64
Electra,ZX Spectrum,Латвия,Latvia,Огре,Ogres,,,,,,,https://zxpress.ru/issue.php?id=330,https://zxpress.ru/d.php?id=330
EMSlog,ZX Spectrum,Россия,Russia,Курск,Kursk,Russian,22 октября 1998,22.10.1998,22.10.1998,22.10.1998,EMSlog #01,https://zxpress.ru/issue.php?id=65,https://zxpress.ru/d.php?id=65
Emulate,ZX Spectrum,,,,,,"31 мая 1996, 29 февраля 1996, 30 ноября 1995, 31 октября 1995, 30 сентября 1995, 31 августа 1995","31.08.1995, 30.09.1995, 31.10.1995, 30.11.1995, 29.02.1996, 31.05.1996",31.08.1995,31.05.1996,"Emulate #01, Emulate #02, Emulate #03, Emulate #04, Emulate #05, Emulate #06, Emulate #Special Edition",https://zxpress.ru/issue.php?id=66,https://zxpress.ru/d.php?id=66
Energy,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"03 февраля 1999, 22 января 1998, 17 сентября 1997, 31 июля 1998, 17 августа 1997, 06 июля 1997, 17 июня 1997, 29 мая 1997, 03 мая 1997, 09 апреля 1997, 26 марта 1997, 31 марта 1998","26.03.1997, 09.04.1997, 03.05.1997, 29.05.1997, 17.06.1997, 06.07.1997, 17.08.1997, 17.09.1997, 22.01.1998, 31.03.1998, 31.07.1998, 03.02.1999",26.03.1997,03.02.1999,"Energy #01, Energy #02, Energy #03, Energy #04, Energy #05, Energy #06, Energy #07, Energy #08, Energy #26, Energy #85, Energy #97, Energy #99",https://zxpress.ru/issue.php?id=67,https://zxpress.ru/d.php?id=67
Enigma Tape Magazine,ZX Spectrum,,,,,,,,,,,https://zxpress.ru/issue.php?id=324,https://zxpress.ru/d.php?id=324
Erotic,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"30 апреля 1998, 28 апреля 1998, 28 апреля 1998, 28 апреля 1998, 26 января 1998, 25 января 1998, 25 января 1998, 25 января 1998, 25 января 1998, 22 января 1998, 16 января 1998, 03 января 1998, 02 января 1998, 28 декабря 1997, 22 декабря 1997, 22 декабря 1997, 16 декабря 1997, 16 декабря 1997, 15 декабря 1997, 15 декабря 1997, 13 декабря 1997, 04 декабря 1997, 30 ноября 1997, 14 декабря 1997","30.11.1997, 04.12.1997, 13.12.1997, 14.12.1997, 15.12.1997, 15.12.1997, 16.12.1997, 16.12.1997, 22.12.1997, 22.12.1997, 28.12.1997, 02.01.1998, 03.01.1998, 16.01.1998, 22.01.1998, 25.01.1998, 25.01.1998, 25.01.1998, 25.01.1998, 26.01.1998, 28.04.1998, 28.04.1998, 28.04.1998, 30.04.1998",30.11.1997,30.04.1998,"Erotic #00, Erotic #01, Erotic #02, Erotic #03, Erotic #04, Erotic #05, Erotic #06, Erotic #07, Erotic #08, Erotic #09, Erotic #10, Erotic #11, Erotic #12, Erotic #13, Erotic #14, Erotic #15, Erotic #16, Erotic #17, Erotic #18, Erotic #19, Erotic #25, Erotic #26, Erotic #27, Erotic #28",https://zxpress.ru/issue.php?id=68,https://zxpress.ru/d.php?id=68
Explorer,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,10 июня 1997,10.06.1997,10.06.1997,10.06.1997,"Explorer #01, Explorer #02, Explorer #03, Explorer #04",https://zxpress.ru/issue.php?id=69,https://zxpress.ru/d.php?id=69
F-Net,ZX Spectrum,Россия,Russia,Барнаул,Barnaul,Russian,22 декабря 1997,22.12.1997,22.12.1997,22.12.1997,F-Net #01,https://zxpress.ru/issue.php?id=81,https://zxpress.ru/d.php?id=81
Fanat,ZX Spectrum,Россия,Russia,Ковров,Kovrov,Russian,"12 марта 2000, 05 августа 1999","05.08.1999, 12.03.2000",05.08.1999,12.03.2000,"Fanat #01, Fanat #02",https://zxpress.ru/issue.php?id=70,https://zxpress.ru/d.php?id=70
Fanat Newspaper,ZX Spectrum,Россия,Russia,Димитровград,Dimitrovgrad,Russian,"27 декабря 1999, 02 августа 1999, 10 июля 1999","10.07.1999, 02.08.1999, 27.12.1999",10.07.1999,27.12.1999,"Fanat Newspaper #01, Fanat Newspaper #02, Fanat Newspaper #03",https://zxpress.ru/issue.php?id=71,https://zxpress.ru/d.php?id=71
Fantadrom,ZX Spectrum,Россия,Russia,Старица,Old woman,Russian,01 января 2002,01.01.2002,01.01.2002,01.01.2002,"Fantadrom #01, Fantadrom #02, Fantadrom #03, Fantadrom #04",https://zxpress.ru/issue.php?id=72,https://zxpress.ru/d.php?id=72
Fantastic,ZX Spectrum,Россия,Russia,Екатеринбург,Ekaterinburg,Russian,,,,,,https://zxpress.ru/issue.php?id=73,https://zxpress.ru/d.php?id=73
Fantasy,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,,https://zxpress.ru/issue.php?id=328,https://zxpress.ru/d.php?id=328
Fantik,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,"Fantik #01, Fantik #02, Fantik #03, Fantik #04, Fantik #05, Fantik #06, Fantik #07",https://zxpress.ru/issue.php?id=74,https://zxpress.ru/d.php?id=74
Fantom,ZX Spectrum,Украина,Ukraine,Харьков,Kharkiv,Russian,"05 января 2000, 06 октября 1999","06.10.1999, 05.01.2000",06.10.1999,05.01.2000,"Fantom #01, Fantom #03",https://zxpress.ru/issue.php?id=75,https://zxpress.ru/d.php?id=75
Faultless,ZX Spectrum,Украина,Ukraine,Харьков,Kharkiv,Russian,"24 мая 1998, 29 ноября 1997, 31 декабря 1996, 02 февраля 1997, 09 октября 1996, 31 декабря 1995, 08 апреля 1996, 11 февраля 1996","31.12.1995, 11.02.1996, 08.04.1996, 09.10.1996, 31.12.1996, 02.02.1997, 29.11.1997, 24.05.1998",31.12.1995,24.05.1998,"Faultless #01, Faultless #02, Faultless #03, Faultless #04, Faultless #05, Faultless #06, Faultless #08, Faultless #09",https://zxpress.ru/issue.php?id=76,https://zxpress.ru/d.php?id=76
Fenzin,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,,https://zxpress.ru/issue.php?id=77,https://zxpress.ru/d.php?id=77
Fisherman Press,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,06 декабря 1997,06.12.1997,06.12.1997,06.12.1997,Fisherman Press #01,https://zxpress.ru/issue.php?id=78,https://zxpress.ru/d.php?id=78
Flash Info,ZX Spectrum,Россия,Russia,Новосибирск,Novosibirsk,Russian,"20 июля 2001, 27 ноября 1999, 31 декабря 1998, 12 августа 1998, 10 июня 1998, 24 мая 1998, 09 января 1998, 27 сентября 1997, 02 августа 1997, 26 июля 1997, 19 июля 1997, 12 июля 1997, 05 июля 1997, 29 июня 1997, 01 июня 1997, 14 августа 1997, 07 июня 1997, 31 мая 1997, 24 мая 1997","24.05.1997, 31.05.1997, 01.06.1997, 07.06.1997, 29.06.1997, 05.07.1997, 12.07.1997, 19.07.1997, 26.07.1997, 02.08.1997, 14.08.1997, 27.09.1997, 09.01.1998, 24.05.1998, 10.06.1998, 12.08.1998, 31.12.1998, 27.11.1999, 20.07.2001",24.05.1997,20.07.2001,"Flash Info #01, Flash Info #02, Flash Info #03, Flash Info #04, Flash Info #05, Flash Info #06, Flash Info #07, Flash Info #08, Flash Info #09, Flash Info #10, Flash Info #11, Flash Info #12, Flash Info #14, Flash Info #15, Flash Info #16, Flash Info #17, Flash Info #18, Flash Info #19, Flash Info #20",https://zxpress.ru/issue.php?id=79,https://zxpress.ru/d.php?id=79
Flash Time,ZX Spectrum,Россия,Russia,Новосибирск,Novosibirsk,Russian,10 июля 1997,10.07.1997,10.07.1997,10.07.1997,Flash Time #01,https://zxpress.ru/issue.php?id=80,https://zxpress.ru/d.php?id=80
Foolishness,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,25 июля 1997,25.07.1997,25.07.1997,25.07.1997,Foolishness #01,https://zxpress.ru/issue.php?id=82,https://zxpress.ru/d.php?id=82
Forever Young,ZX Spectrum,Россия,Russia,Великие Луки,Velikiye Luki,Russian,21 июля 1998,21.07.1998,21.07.1998,21.07.1998,Forever Young #01,https://zxpress.ru/issue.php?id=83,https://zxpress.ru/d.php?id=83
Fuck,ZX Spectrum,,,,,,"21 октября 1996, 02 июня 1996","02.06.1996, 21.10.1996",02.06.1996,21.10.1996,"Fuck #01, Fuck #03, Fuck #08, Fuck #09",https://zxpress.ru/issue.php?id=84,https://zxpress.ru/d.php?id=84
Full Pull,ZX Spectrum,Россия,Russia,Петрозаводск,Petrozavodsk,Russian,"02 октября 2003, 11 сентября 2003, 21 августа 2003, 31 июля 2003, 10 июля 2003, 19 июня 2003, 29 мая 2003, 08 мая 2003, 17 апреля 2003, 26 марта 2003","26.03.2003, 17.04.2003, 08.05.2003, 29.05.2003, 19.06.2003, 10.07.2003, 31.07.2003, 21.08.2003, 11.09.2003, 02.10.2003",26.03.2003,02.10.2003,"Full Pull #01, Full Pull #02, Full Pull #03, Full Pull #04, Full Pull #05, Full Pull #06, Full Pull #07, Full Pull #08, Full Pull #09, Full Pull #10",https://zxpress.ru/issue.php?id=85,https://zxpress.ru/d.php?id=85
Funeral,ZX Spectrum,Россия,Russia,Барнаул,Barnaul,Russian,"31 октября 1999, 12 февраля 1999","12.02.1999, 31.10.1999",12.02.1999,31.10.1999,"Funeral #01, Funeral #1.5",https://zxpress.ru/issue.php?id=86,https://zxpress.ru/d.php?id=86
Funny Box,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"01 августа 1997, 25 мая 1997, 16 мая 1997","16.05.1997, 25.05.1997, 01.08.1997",16.05.1997,01.08.1997,"Funny Box #01, Funny Box #02, Funny Box #03, Funny Box #04, Funny Box #05",https://zxpress.ru/issue.php?id=87,https://zxpress.ru/d.php?id=87
Funny Night,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,,https://zxpress.ru/issue.php?id=88,https://zxpress.ru/d.php?id=88
Gamergy,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,25 ноября 2017,25.11.2017,25.11.2017,25.11.2017,"Gamergy #01, Gamergy #02, Gamergy #03",https://zxpress.ru/issue.php?id=340,https://zxpress.ru/d.php?id=340
Generation Z,ZX Spectrum,Россия,Russia,Чайковский,Chaikovsky,Russian,"20 января 2009, 02 января 2003, 16 декабря 2002, 01 января 2008, 21 апреля 2003, 06 ноября 2002, 14 сентября 2002, 01 апреля 2002","01.04.2002, 14.09.2002, 06.11.2002, 16.12.2002, 02.01.2003, 21.04.2003, 01.01.2008, 20.01.2009",01.04.2002,20.01.2009,"Generation Z #01, Generation Z #02, Generation Z #03, Generation Z #04, Generation Z #05, Generation Z #3.5, Generation Z #3.75, Generation Z #5,5",https://zxpress.ru/issue.php?id=89,https://zxpress.ru/d.php?id=89
Gluk,ZX Spectrum,Россия,Russia,Кировск,Kirovsk,Russian,09 марта 1998,09.03.1998,09.03.1998,09.03.1998,Gluk #00,https://zxpress.ru/issue.php?id=90,https://zxpress.ru/d.php?id=90
GMS News,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,,,,,"GMS News #01, GMS News #02, GMS News #03",https://zxpress.ru/issue.php?id=329,https://zxpress.ru/d.php?id=329
Gomel ZX-Net News,ZX Spectrum,Беларусь,Belarus,Гомель,Gomel,Russian,04 декабря 1998,04.12.1998,04.12.1998,04.12.1998,Gomel ZX-Net News #00,https://zxpress.ru/issue.php?id=91,https://zxpress.ru/d.php?id=91
Gorodok,ZX Spectrum,Украина,Ukraine,Смелла,Smella,Russian,"10 февраля 1999, 02 марта 1999, 01 августа 1998, 01 июля 1998, 01 апреля 1998, 01 марта 1998, 01 февраля 1998, 01 января 1998, 01 декабря 1997","01.12.1997, 01.01.1998, 01.02.1998, 01.03.1998, 01.04.1998, 01.07.1998, 01.08.1998, 10.02.1999, 02.03.1999",01.12.1997,02.03.1999,"Gorodok #01, Gorodok #02, Gorodok #03, Gorodok #04, Gorodok #05, Gorodok #06, Gorodok #07, Gorodok #08, Gorodok #09, Gorodok #10, Gorodok #11, Gorodok #12, Gorodok #13, Gorodok #14, Gorodok #15",https://zxpress.ru/issue.php?id=92,https://zxpress.ru/d.php?id=92
Gothiq,ZX Spectrum,Россия,Russia,Владивосток,Vladivostok,Russian,14 января 2003,14.01.2003,14.01.2003,14.01.2003,Gothiq #01,https://zxpress.ru/issue.php?id=93,https://zxpress.ru/d.php?id=93
Hacker,ZX Spectrum,Россия,Russia,Нижний Тагил,Nizhny Tagil,Russian,"10 марта 1997, 08 января 1997, 16 апреля 1996","16.04.1996, 08.01.1997, 10.03.1997",16.04.1996,10.03.1997,"Hacker #01, Hacker #06, Hacker #07",https://zxpress.ru/issue.php?id=94,https://zxpress.ru/d.php?id=94
Heresy,ZX Spectrum,Россия,Russia,Ковров,Kovrov,Russian,"26 декабря 1999, 13 августа 1999, 16 мая 1999","16.05.1999, 13.08.1999, 26.12.1999",16.05.1999,26.12.1999,"Heresy #01, Heresy #02, Heresy #03, Heresy #04, Heresy #05, Heresy #06, Heresy #07, Heresy #08, Heresy #09, Heresy #10, Heresy #Satanic",https://zxpress.ru/issue.php?id=95,https://zxpress.ru/d.php?id=95
Hobby,ZX Spectrum,Россия,Russia,Барнаул,Barnaul,Russian,31 января 1999,31.01.1999,31.01.1999,31.01.1999,Hobby #01,https://zxpress.ru/issue.php?id=96,https://zxpress.ru/d.php?id=96
Hooy Mag,ZX Spectrum,Польша,Poland,Краков,Krakow,,,,,,,https://zxpress.ru/issue.php?id=332,https://zxpress.ru/d.php?id=332
Horror,ZX Spectrum,Беларусь,Belarus,Могилёв,Mogilev,Russian,"27 марта 2000, 19 ноября 1999, 13 ноября 1999, 27 сентября 1999, 21 июля 1999, 09 июля 1999","09.07.1999, 21.07.1999, 27.09.1999, 13.11.1999, 19.11.1999, 27.03.2000",09.07.1999,27.03.2000,"Horror #01, Horror #02, Horror #03, Horror #04, Horror #05, Horror #06",https://zxpress.ru/issue.php?id=97,https://zxpress.ru/d.php?id=97
Humor in Exchange,ZX Spectrum,Беларусь,Belarus,Гродно,Grodno,Russian,"01 июня 2001, 01 июня 2001","01.06.2001, 01.06.2001",01.06.2001,01.06.2001,"Humor in Exchange #00, Humor in Exchange #07",https://zxpress.ru/issue.php?id=98,https://zxpress.ru/d.php?id=98
Impulse,ZX Spectrum,Беларусь,Belarus,Брест,Brest,Russian,"15 февраля 2001, 31 августа 2000, 09 августа 2000, 23 мая 2000, 28 сентября 1999, 28 июля 1999, 24 февраля 1999, 09 декабря 1998, 31 декабря 1997, 31 марта 1997","31.03.1997, 31.12.1997, 09.12.1998, 24.02.1999, 28.07.1999, 28.09.1999, 23.05.2000, 09.08.2000, 31.08.2000, 15.02.2001",31.03.1997,15.02.2001,"Impulse #01, Impulse #02, Impulse #03, Impulse #04, Impulse #05, Impulse #06, Impulse #07, Impulse #08, Impulse #09, Impulse #10, Impulse #11(html)",https://zxpress.ru/issue.php?id=99,https://zxpress.ru/d.php?id=99
Inferno,ZX Spectrum,Россия,Russia,Самара,Samara,Russian,"22 июня 2003, 22 ноября 2002, 01 мая 2001, 31 декабря 2000","31.12.2000, 01.05.2001, 22.11.2002, 22.06.2003",31.12.2000,22.06.2003,"Inferno #01, Inferno #02, Inferno #03, Inferno #04",https://zxpress.ru/issue.php?id=100,https://zxpress.ru/d.php?id=100
Info Guide,ZX Spectrum,Россия,Russia,Рязань,Ryazan,Russian,"01 апреля 2021, 31 декабря 2017, 05 июля 2015, 30 апреля 2007, 31 июля 2006, 30 ноября 2005, 31 мая 2005, 03 декабря 2004, 30 апреля 2004","30.04.2004, 03.12.2004, 31.05.2005, 30.11.2005, 31.07.2006, 30.04.2007, 05.07.2015, 31.12.2017, 01.04.2021",30.04.2004,01.04.2021,"Info Guide #05, Info Guide #06, Info Guide #07, Info Guide #08, Info Guide #09, Info Guide #10, Info Guide #11, Info Guide #12, Info Guide #13",https://zxpress.ru/issue.php?id=302,https://zxpress.ru/d.php?id=302
Innovision,ZX Spectrum,,,,,,,,,,Innovision #00,https://zxpress.ru/issue.php?id=101,https://zxpress.ru/d.php?id=101
Insanity,ZX Spectrum,Россия,Russia,Глазов,Glazov,Russian,"30 ноября 2001, 16 июня 2001, 19 января 2001, 17 августа 2000, 26 мая 2000, 28 февраля 2000, 18 декабря 1999, 18 декабря 1999, 08 сентября 1999, 20 июля 1999","20.07.1999, 08.09.1999, 18.12.1999, 18.12.1999, 28.02.2000, 26.05.2000, 17.08.2000, 19.01.2001, 16.06.2001, 30.11.2001",20.07.1999,30.11.2001,"Insanity #01, Insanity #02, Insanity #03, Insanity #04, Insanity #05, Insanity #06, Insanity #07, Insanity #08, Insanity #09, Insanity #10",https://zxpress.ru/issue.php?id=102,https://zxpress.ru/d.php?id=102
IzhNews,ZX Spectrum,Россия,Russia,Ижевск,Izhevsk,Russian,"04 января 2002, 18 апреля 2003, 28 февраля 2003, 31 июля 2001, 25 ноября 2000, 09 октября 2000, 05 сентября 2000, 31 декабря 1999, 27 июля 2000, 29 августа 2000, 09 мая 2000, 17 октября 1999, 15 января 2000, 03 января 2000, 12 декабря 1999","17.10.1999, 12.12.1999, 31.12.1999, 03.01.2000, 15.01.2000, 09.05.2000, 27.07.2000, 29.08.2000, 05.09.2000, 09.10.2000, 25.11.2000, 31.07.2001, 04.01.2002, 28.02.2003, 18.04.2003",17.10.1999,18.04.2003,"IzhNews #01, IzhNews #02, IzhNews #03, IzhNews #04, IzhNews #05, IzhNews #06, IzhNews #07, IzhNews #08, IzhNews #09, IzhNews #0A, IzhNews #0B, IzhNews #0C, IzhNews #0D, IzhNews #0E, IzhNews #2002",https://zxpress.ru/issue.php?id=103,https://zxpress.ru/d.php?id=103
Joint,ZX Spectrum,Россия,Russia,Йошкар-Ола,Yoshkar-Ola,Russian,31 января 2006,31.01.2006,31.01.2006,31.01.2006,Joint #01,https://zxpress.ru/issue.php?id=104,https://zxpress.ru/d.php?id=104
Key,ZX Spectrum,Россия,Russia,Первоуральск,Pervouralsk,Russian,30 мая 2003,30.05.2003,30.05.2003,30.05.2003,Key #01,https://zxpress.ru/issue.php?id=105,https://zxpress.ru/d.php?id=105
KiiA Info,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"25 июня 1992, 12 апреля 1992, 16 апреля 1992, 25 марта 1992, 18 марта 1992, 11 марта 1992","11.03.1992, 18.03.1992, 25.03.1992, 12.04.1992, 16.04.1992, 25.06.1992",11.03.1992,25.06.1992,"KiiA Info #01, KiiA Info #02, KiiA Info #03, KiiA Info #04, KiiA Info #05, KiiA Info #06",https://zxpress.ru/issue.php?id=342,https://zxpress.ru/d.php?id=342
Kosme,ZX Spectrum,Россия,Russia,Ковров,Kovrov,Russian,30 апреля 2001,30.04.2001,30.04.2001,30.04.2001,Kosme #00,https://zxpress.ru/issue.php?id=106,https://zxpress.ru/d.php?id=106
KrNews,ZX Spectrum,Россия,Russia,Краснодар,Krasnodar,Russian,"29 июля 2003, 02 ноября 2001, 22 сентября 2000, 31 января 2001, 01 апреля 2000, 31 декабря 1999, 20 августа 1999, 18 мая 1999, 05 марта 1999, 15 января 1999, 15 ноября 1998, 24 июля 1998, 18 июня 1998, 24 мая 1998, 26 апреля 1998, 04 марта 1998, 09 января 1998","09.01.1998, 04.03.1998, 26.04.1998, 24.05.1998, 18.06.1998, 24.07.1998, 15.11.1998, 15.01.1999, 05.03.1999, 18.05.1999, 20.08.1999, 31.12.1999, 01.04.2000, 22.09.2000, 31.01.2001, 02.11.2001, 29.07.2003",09.01.1998,29.07.2003,"KrNews #00, KrNews #01, KrNews #02, KrNews #03, KrNews #04, KrNews #05, KrNews #06, KrNews #07, KrNews #08, KrNews #09, KrNews #10, KrNews #11, KrNews #12, KrNews #13, KrNews #14, KrNews #15, KrNews #16",https://zxpress.ru/issue.php?id=107,https://zxpress.ru/d.php?id=107
Lamergy,ZX Spectrum,,,,,,,,,,,https://zxpress.ru/issue.php?id=108,https://zxpress.ru/d.php?id=108
